Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
318.67,796.79,86.125,2.5951,0.10367,0.14054,0.043227,0.11739,0.22228,0.11707,0.091036,0.35847,0.095553,1.289239773877005
319.35,806.24,87.006,2.5461,0.1047,0.14079,0.04323,0.11775,0.22254,0.117,0.09251,0.35617,0.095558,1.2902609752131586
318.68,806.08,87.006,2.5459,0.10471,0.14079,0.043235,0.11775,0.22254,0.117,0.092533,0.35635,0.095558,1.290483070388388
318.55,810.41,86.972,2.5448,0.10479,0.1408,0.04324,0.11778,0.22253,0.11701,0.092645,0.35644,0.095556,1.2907946379872437
319.19,806.07,86.828,2.5466,0.10469,0.14079,0.04323,0.11775,0.22254,0.11701,0.092494,0.35686,0.095555,1.2909131754241112
319.02,790.66,85.857,2.6144,0.10325,0.14045,0.043221,0.11725,0.2222,0.11708,0.090412,0.3615,0.095582,1.2909471249355315
319.72,806.17,87.038,2.5448,0.10472,0.1408,0.043228,0.11776,0.22255,0.117,0.092534,0.35688,0.095559,1.2910416037719326
319.14,805.9,86.799,2.5469,0.10468,0.14079,0.04323,0.11774,0.22254,0.11701,0.092484,0.35724,0.095555,1.2912700491791638
319.36,800.59,87.011,2.5449,0.10465,0.1408,0.043225,0.11773,0.22257,0.117,0.092439,0.35827,0.095563,1.2922424770302463
318.99,795.28,85.718,2.6062,0.10345,0.14049,0.043224,0.11731,0.22223,0.11709,0.0907,0.36222,0.095561,1.2922726114611176
