Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
572.42,401.92,40.931,244.09,148.11,119.81,62.789,11.545,0.12081,0.27001,0.13127,0.11122,0.27429,0.024338,0.026329,0.10065,0.12034,1.1792702601217624
571.17,403.57,40.342,243.78,146.98,120.98,63.212,11.517,0.12088,0.26996,0.13135,0.11151,0.28207,0.024341,0.026417,0.1007,0.1203,1.187532579537664
576.34,402.92,42.736,243.88,141.46,120.97,62.357,11.87,0.12046,0.27027,0.13091,0.11101,0.2898,0.024481,0.026588,0.10039,0.11858,1.1924855589933718
583.1,403.08,43.299,244.01,142.18,120.09,62.065,11.557,0.12062,0.2701,0.13135,0.11076,0.29221,0.024502,0.026397,0.10071,0.11971,1.1963734499418197
575.57,407.09,43.994,243.7,138.02,120.28,62.383,11.799,0.12047,0.27038,0.131,0.11056,0.29554,0.02461,0.026645,0.10019,0.11802,1.1974047927645601
556.75,403.19,42.751,243.86,137.96,120.11,63.055,11.883,0.12062,0.2705,0.13079,0.11057,0.29947,0.024536,0.026756,0.099769,0.11732,1.2003282279015794
571.92,402.92,42.736,243.88,141.46,120.97,62.357,11.87,0.12048,0.27034,0.13088,0.11095,0.29847,0.024494,0.026595,0.10024,0.11838,1.2008389550601306
575.79,407.09,43.993,241.87,137.81,120.34,62.38,11.816,0.12044,0.27042,0.13096,0.11057,0.31056,0.024634,0.026654,0.10017,0.1179,1.2123118336389433
566.88,407.51,44.55,243.76,135.93,120.27,62.406,11.8,0.12051,0.27055,0.13096,0.11029,0.3137,0.024675,0.026712,0.099833,0.11731,1.2145218730280527
575.92,359.67,42.653,243.82,145.83,121.17,63.443,11.87,0.12061,0.26977,0.13044,0.1107,0.31393,0.02392,0.026519,0.10111,0.12021,1.2172101766267065
