Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
941.27,0.43765,146.17,4.121,0.014744,0.014744133858988573
941.27,0.43765,146.17,4.121,0.014744,0.014744133858988573
941.27,0.43765,146.17,4.121,0.014744,0.014744133858988573
941.27,0.43765,146.17,4.121,0.014744,0.014744133858988573
941.27,0.43765,146.17,4.121,0.014744,0.014744133858988573
941.27,0.43765,146.17,4.121,0.014744,0.014744133858988573
941.27,0.43765,146.17,4.121,0.014744,0.014744133858988573
941.27,0.43765,146.17,4.121,0.014744,0.014744133858988576
941.27,0.43765,146.17,4.121,0.014744,0.014744133858988585
941.27,0.43765,146.17,4.121,0.014744,0.014744133858988585
