Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
267.61,0.11307,62.364,15.043,5.3439e-05,0.1343,0.060354,0.061312,0.074303,0.203,0.074181,0.6074469845478726
268.34,0.11367,62.166,15.055,6.0264e-05,0.13418,0.060288,0.061397,0.074378,0.20846,0.074059,0.612763285831689
269.09,0.11086,62.175,15.085,6.1105e-05,0.13421,0.060289,0.06139,0.074415,0.20907,0.074023,0.613393836102791
269.08,0.11169,61.966,14.502,6.1101e-05,0.13423,0.060259,0.061483,0.07455,0.21054,0.073733,0.614796280025585
267.37,0.10635,62.318,14.503,6.1153e-05,0.13413,0.06021,0.061505,0.0747,0.21096,0.073592,0.6151030104342854
265.02,0.10916,62.804,15.043,5.3971e-05,0.13412,0.060287,0.061359,0.07443,0.21257,0.074062,0.6168231913730018
265.57,0.11653,62.228,15.063,5.3932e-05,0.13425,0.060335,0.061339,0.074373,0.21246,0.074105,0.6168583237599644
267.58,0.10461,62.243,14.374,6.1169e-05,0.13416,0.060207,0.061517,0.074758,0.21274,0.073502,0.6168809993531447
267.58,0.10799,62.455,14.373,6.1166e-05,0.13412,0.0602,0.061527,0.07473,0.21297,0.073523,0.6170725140209555
269.3,0.11103,62.375,15.004,5.2018e-05,0.13438,0.060383,0.061283,0.074223,0.21278,0.074268,0.617321902527908
