Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
1276.3,0.21516,120.64,4.8002,0.24445,0.069109,0.13416,0.055209,0.056035,0.10401,0.6629812361598817
1278.2,0.21516,120.64,4.8002,0.24499,0.069104,0.13417,0.055213,0.056034,0.10402,0.6635281973086505
1277.5,0.21541,121.38,4.773,0.24679,0.069167,0.13423,0.055252,0.055946,0.1043,0.665692026418869
1266.6,0.21968,120.72,4.7365,0.24719,0.069211,0.1344,0.055281,0.055902,0.10447,0.6664621617875764
1252.5,0.21534,121.4,4.7945,0.24921,0.069189,0.13405,0.055169,0.056023,0.10402,0.6676546742737581
1280.6,0.21108,122.29,4.6682,0.24777,0.069418,0.13454,0.055378,0.055643,0.10534,0.6680931677636877
1287.3,0.21509,119.95,4.7973,0.24951,0.069076,0.13425,0.055229,0.056036,0.10403,0.6681325026389618
1283.4,0.21729,119.55,4.7812,0.2516,0.069087,0.13434,0.055245,0.056021,0.1041,0.6703923304635354
1276.5,0.21225,122.66,4.6021,0.24933,0.069545,0.13478,0.055468,0.055472,0.10594,0.6705293922153615
1281.2,0.21195,122.55,4.7977,0.25209,0.069164,0.13406,0.055233,0.055957,0.10423,0.6707360421122015
