Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1774.7,0.15065,124.32,3.8099,0.32118,0.075238,0.041471,0.1445,0.11552,0.24522,0.10978,0.14704,0.11252,1.3124631307845858
1773.4,0.15074,124.2,3.7961,0.32282,0.075524,0.041624,0.14458,0.11573,0.24512,0.10983,0.14719,0.11251,1.314930333091906
1776.6,0.14943,126.1,3.7892,0.32692,0.075622,0.041816,0.14471,0.11592,0.24504,0.10963,0.14725,0.11249,1.3193998638305557
1773.6,0.15054,126.6,3.8252,0.36145,0.074891,0.041418,0.1445,0.1154,0.24527,0.10963,0.14689,0.11251,1.3519481371349624
1776.2,0.14721,127.44,3.7951,0.36148,0.075476,0.04187,0.14477,0.11595,0.24503,0.10949,0.14719,0.11248,1.3537337622179009
1778.3,0.14892,128.0,3.805,0.365,0.075259,0.041733,0.14468,0.11575,0.24511,0.10946,0.14707,0.11249,1.3565674045469227
1823.2,0.14338,128.69,3.7909,0.36516,0.075606,0.041964,0.14473,0.11603,0.24499,0.10935,0.1472,0.11246,1.3575000283154666
1823.1,0.14337,128.69,3.7935,0.36572,0.075555,0.041935,0.14471,0.11599,0.24501,0.10936,0.14718,0.11246,1.3579291084262317
1821.2,0.14375,128.69,3.7937,0.36675,0.075545,0.041925,0.14471,0.11598,0.24501,0.10937,0.14718,0.11247,1.3589339435645673
1821.9,0.14374,128.67,3.7954,0.36689,0.075513,0.041903,0.1447,0.11595,0.24503,0.10938,0.14716,0.11247,1.35898265898675
