iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,220.26,28.858,64.17,15.819,4.7048e-05,0.0716363626622238,0.07318082897279786,0.09493054400339054
2,178.03,3.1378,42.906,15.998,3.3181e-05,0.320126966622635,0.0738051759355145,0.3436198837744433
3,273.82,49.674,61.143,15.999,5.5658e-05,0.024095935325411013,0.07360970820257726,0.04752663316539542
4,255.23,50.664,65.103,15.723,5.6349e-05,0.013140725860409508,0.0733733655674543,0.03649619350310755
