Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1423.8,0.21153,118.32,4.364,0.085698,0.067006,0.10969,0.78699,0.14173,0.037471,0.24833,0.11242,0.14264,1.731973488431625
1593.2,0.18116,120.3,4.0721,0.080194,0.072482,0.11364,0.78076,0.14343,0.039897,0.24647,0.11221,0.14531,1.7343949291341776
1923.9,0.14685,119.43,3.6585,0.078753,0.079347,0.11845,0.8066,0.14506,0.042367,0.24427,0.11218,0.14871,1.7757460550276585
1586.0,0.17416,117.68,3.6509,0.078112,0.079482,0.11847,0.81852,0.14541,0.042424,0.24435,0.11275,0.14913,1.7886320187189808
1914.3,0.14935,119.58,3.6008,0.07765,0.080494,0.11915,0.86289,0.14531,0.042778,0.24397,0.11229,0.14929,1.8338065628409723
1591.4,0.17089,117.91,3.5307,0.076974,0.081757,0.12024,0.85853,0.14619,0.043567,0.24364,0.1129,0.15032,1.8341210404965607
1440.1,0.18672,116.58,3.5487,0.077901,0.081118,0.11992,0.85863,0.14615,0.04334,0.24381,0.11316,0.15023,1.8342568142255833
1989.7,0.15824,114.32,4.2788,0.10614,0.068549,0.11058,0.88293,0.14113,0.037602,0.24796,0.11189,0.14275,1.8495238104656144
1476.7,0.19062,120.33,3.7199,0.076927,0.078799,0.11808,0.89247,0.14544,0.042539,0.24455,0.11277,0.14864,1.8602060502819084
1918.8,0.12187,123.85,8.2956,0.78627,0.023371,0.089831,0.30427,0.12691,0.027938,0.26285,0.1157,0.1231,1.8602247935654979
