Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
0.48097,842.51,7.6024e-07,971.59,679.56,837.86,144.54,16.454,0.12173,0.48247,0.039013,0.13723,0.21693,0.097702,0.1098,0.067287,0.067517,1.3396727576129923
0.47742,839.65,7.8983e-07,971.59,680.3,839.43,141.49,16.345,0.12203,0.51387,0.03915,0.13747,0.21696,0.098004,0.10946,0.066915,0.067046,1.3709045739854688
0.21419,837.22,7.9609e-07,971.6,679.56,838.63,136.14,16.392,0.12717,0.52615,0.041036,0.14324,0.21824,0.1003,0.10441,0.059959,0.056192,1.376695365114986
0.56264,842.12,6.3097e-07,971.59,680.3,801.46,142.87,16.033,0.12106,0.52738,0.038562,0.13678,0.21661,0.097614,0.11032,0.069225,0.069506,1.3870569663547367
0.026461,740.47,2.9221e-07,971.6,679.0,802.48,126.44,15.851,0.13791,0.52492,0.044841,0.16667,0.22236,0.10715,0.095892,0.052013,0.035741,1.3875083236016055
0.017925,740.82,2.8911e-07,971.59,679.16,802.43,128.87,15.829,0.13888,0.56122,0.045399,0.17031,0.2234,0.10827,0.095137,0.050929,0.034117,1.4276633741978701
0.17071,740.74,1.1434e-06,971.6,684.81,837.08,129.2,15.848,0.12932,0.5929,0.041836,0.14645,0.21874,0.10148,0.10241,0.057668,0.051868,1.44267994466714
0.71146,850.8,5.4679e-07,971.31,678.99,839.18,126.1,15.083,0.1211,0.58972,0.038391,0.13718,0.21638,0.1007,0.1101,0.071663,0.0709,1.4561258082505661
10.015,870.9,4.3677,992.63,671.9,983.03,67.437,8.8569,0.13068,0.62266,0.048419,0.16041,0.21986,0.10534,0.10052,0.048345,0.036083,1.47231803393889
9.9646,869.07,4.4546,992.03,672.04,980.4,68.28,8.809,0.13064,0.62426,0.048518,0.16042,0.21975,0.10536,0.10047,0.048114,0.035991,1.4735156951280581
