Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
1998.5,2.4867,0.28918,14.161,0.17127,0.22209,0.11984,0.18599,1.053,0.095008,1.8471695555291596
1998.5,2.4853,0.2889,14.169,0.1713,0.22213,0.11984,0.18599,1.0529,0.095009,1.8472063037429756
1998.6,2.4847,0.29382,14.125,0.17118,0.22197,0.11979,0.18595,1.0538,0.094986,1.8477026572004394
1995.1,2.4862,0.29439,14.202,0.17107,0.22185,0.11975,0.18592,1.0575,0.094976,1.8510929498487891
1998.4,2.6077,0.30882,14.433,0.16871,0.2183,0.11956,0.18549,1.0676,0.094814,1.8544881855391826
1993.0,2.4524,0.29323,14.171,0.17166,0.22276,0.11974,0.18599,1.061,0.095002,1.8561416304851446
1987.0,2.4841,0.28902,14.17,0.1712,0.2221,0.1198,0.186,1.0627,0.095013,1.8568157073153124
1993.6,2.4545,0.29884,14.17,0.17146,0.22249,0.11967,0.18592,1.0629,0.09497,1.8573625168139118
1985.0,2.4985,0.28928,14.145,0.17095,0.22173,0.11981,0.18599,1.0641,0.095008,1.8575554353418364
1997.6,2.5815,0.3408,13.443,0.16853,0.21825,0.11946,0.18551,1.072,0.094746,1.8584656651135778
