Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g243),Error (g223),Error (g238),Error (g185),Error (g138),Error (g164),Error (g50),Error (curve),Reduced Error
200.08,9.4532,53.229,1.6657,0.12675,0.089985,0.20684,0.17621,0.086523,0.19929,0.096368,0.10953,0.74416,1.8356487474526415
179.2,9.8121,43.582,1.9163,0.12777,0.088786,0.20407,0.17407,0.083962,0.19885,0.096971,0.10624,1.1681,2.248841549203803
191.14,9.4585,51.696,1.0001,0.13056,0.09456,0.21808,0.17849,0.097729,0.20339,0.098851,0.11603,1.1178,2.2554999323097498
188.9,9.0806,38.468,1.8019,0.12882,0.088877,0.2059,0.17342,0.083985,0.19856,0.097514,0.10595,1.4896,2.5726703664015163
1003.9,0.16002,118.99,19.552,0.10574,0.056242,0.71409,0.15907,0.084982,0.12613,0.16484,0.22391,1.0327,2.6676641755219084
1147.6,0.13096,114.88,19.047,0.10431,0.056575,0.64417,0.15921,0.085308,0.12593,0.16405,0.21572,1.2769,2.832187031073878
1085.0,0.080651,133.86,7.6163,0.1011,0.060497,1.1159,0.17956,0.11316,0.12654,0.15922,0.29209,0.6914,2.8394873981888535
1121.8,0.084705,134.39,8.2358,0.10138,0.060137,1.1001,0.17801,0.11141,0.12739,0.16099,0.30152,0.72843,2.869355300317574
3945.8,0.042434,41.723,19.701,0.10894,0.056395,0.50034,0.14848,0.091649,0.1635,0.14529,0.085136,1.5994,2.8991112063220976
1152.2,0.084234,137.04,8.5238,0.10094,0.060039,1.1503,0.17726,0.11036,0.12766,0.16157,0.30359,0.71307,2.9048051641260857
