Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
921.33,2.7464,188.04,1.8859,0.0,0.0
914.71,2.7547,188.65,1.9102,0.0,0.0
898.44,2.7573,188.2,1.8909,0.0,0.0
907.05,2.7532,189.99,1.8707,0.0,0.0
917.94,2.7252,189.89,1.8947,0.0,0.0
899.51,2.6937,191.15,1.8755,0.0,0.0
908.41,2.7756,187.25,1.9147,0.0,0.0
906.6,2.7694,187.64,1.8901,0.0,0.0
904.59,2.6563,190.8,1.8711,0.0,0.0
362.9,4.2294,158.37,3.3384,0.0,0.0
