Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
460.86,0.51214,97.893,10.864,4.0147e-06,0.065101,0.088593,0.055033,0.12713,0.066214,0.28546,0.6875351558794291
461.01,0.51203,97.976,10.933,3.9304e-06,0.065058,0.088574,0.055043,0.12715,0.066241,0.28577,0.6878298745250728
460.86,0.51211,97.79,10.871,4.0124e-06,0.065097,0.088582,0.055033,0.12714,0.066226,0.28581,0.6878937110596504
464.91,0.50578,97.698,10.935,3.913e-06,0.065069,0.088548,0.055041,0.12719,0.066282,0.28578,0.6879081914099738
459.82,0.5135,97.872,11.001,3.9367e-06,0.065021,0.088523,0.055051,0.12717,0.066294,0.28592,0.687976284177567
474.06,0.50006,98.647,11.825,3.8981e-06,0.06459,0.087986,0.055191,0.12758,0.066941,0.28579,0.6880740175905877
474.18,0.5,98.734,11.825,3.8971e-06,0.064589,0.087992,0.055193,0.12758,0.066935,0.28582,0.6881085840444721
473.89,0.50003,98.697,11.821,3.8943e-06,0.064592,0.087994,0.055191,0.12757,0.066933,0.28584,0.6881210803399351
474.03,0.50034,98.643,11.821,3.8945e-06,0.064592,0.087989,0.055191,0.12758,0.066937,0.28597,0.6882563975644455
474.35,0.50015,98.744,11.825,3.8954e-06,0.064588,0.087992,0.055193,0.12758,0.066935,0.28605,0.6883370770958017
