Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
660.53,0.41362,118.48,19.461,0.084492,0.070381,0.25821,0.055724,0.12987,0.062447,0.6611278022151743
660.52,0.41337,118.31,19.443,0.084467,0.07041,0.25838,0.055713,0.12987,0.062462,0.6612975798217013
654.65,0.42065,118.14,19.041,0.084266,0.070536,0.25874,0.055574,0.12953,0.0627,0.6613383654543319
660.13,0.41296,118.31,19.429,0.084458,0.070416,0.25909,0.055704,0.12985,0.062476,0.6619978753138561
698.13,0.37775,120.82,19.441,0.084424,0.070421,0.25933,0.055699,0.12976,0.062595,0.6622282320388797
658.55,0.41464,118.81,19.462,0.084528,0.070328,0.25964,0.055729,0.12984,0.062446,0.662514187684179
660.51,0.40828,119.45,19.447,0.084534,0.070299,0.26014,0.055711,0.12977,0.062497,0.6629495766184991
660.87,0.4122,118.18,19.444,0.084452,0.070432,0.26009,0.055706,0.12987,0.06247,0.6630204784407533
659.04,0.41704,118.4,19.445,0.084496,0.070375,0.26028,0.055728,0.12987,0.062438,0.6631927803356041
660.06,0.40836,119.45,19.445,0.084534,0.070298,0.26056,0.05571,0.12977,0.0625,0.6633617567820791
