evals,errors
1000,1.6659618572142176
2000,1.654128697507917
3000,1.5783557473121783
4000,1.5783557473121783
5000,1.5697060839182113
6000,1.4877993210380476
7000,1.4871584760834713
8000,1.4871584760834713
9000,1.4871584760834713
10000,1.4871584760834713
11000,1.4871584760834713
12000,1.4822337042449973
13000,1.4822337042449973
14000,1.4822337042449973
15000,1.4822337042449973
16000,1.4822337042449973
17000,1.4822337042449973
18000,1.4822337042449973
19000,1.4822337042449973
20000,1.4822337042449973
21000,1.4822337042449973
22000,1.4822337042449973
23000,1.4822337042449973
24000,1.4822337042449973
25000,1.481361538936167
26000,1.481361538936167
27000,1.481361538936167
28000,1.481361538936167
29000,1.481361538936167
30000,1.481361538936167
31000,1.481361538936167
32000,1.481361538936167
33000,1.481361538936167
34000,1.481361538936167
35000,1.481361538936167
36000,1.481361538936167
37000,1.481361538936167
38000,1.481361538936167
39000,1.481361538936167
40000,1.481361538936167
41000,1.481361538936167
42000,1.481361538936167
43000,1.481361538936167
44000,1.481361538936167
45000,1.481361538936167
46000,1.481361538936167
47000,1.481361538936167
48000,1.481361538936167
49000,1.481361538936167
50000,1.481361538936167
