Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
1392.5,0.32323,157.71,2.973,0.15283,0.29852,0.24827,0.094339,0.17864,0.17889,0.071671,0.15634,0.10186,1.481361538936167
1392.2,0.32341,158.14,2.9892,0.15265,0.29995,0.24833,0.094386,0.17849,0.17896,0.071567,0.15614,0.10177,1.4822337042449973
1381.8,0.3233,158.18,2.994,0.15258,0.30496,0.24839,0.094427,0.17848,0.17899,0.071521,0.15608,0.10173,1.4871584760834713
1381.7,0.32314,158.1,2.9867,0.15266,0.30534,0.24837,0.094407,0.17856,0.17896,0.071568,0.15617,0.10177,1.4877993210380476
1392.1,0.32368,158.14,3.0016,0.15252,0.30682,0.24836,0.09442,0.17836,0.17901,0.071487,0.15599,0.10169,1.4886607731046622
1395.7,0.32269,155.93,2.9683,0.15287,0.30976,0.24821,0.094312,0.17862,0.17887,0.071687,0.15637,0.10187,1.4925669549598515
1398.7,0.32163,161.17,2.9607,0.15299,0.31443,0.24834,0.094316,0.17887,0.17884,0.071791,0.15653,0.10198,1.4980792577337123
1399.5,0.31559,157.91,3.0446,0.152,0.31912,0.24862,0.094478,0.17802,0.1792,0.07119,0.15545,0.10143,1.4995031873573927
1353.1,0.32341,158.23,3.003,0.15244,0.33406,0.24856,0.094511,0.17852,0.17905,0.071422,0.15594,0.10167,1.516166033209499
1342.5,0.32344,158.1,2.988,0.15258,0.34522,0.24856,0.094477,0.17868,0.179,0.071503,0.1561,0.10175,1.5278683065985648
