Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
329.04,2.1553,72.499,15.487,0.13192,0.11277,0.30938,0.22796,0.033301,0.03801,0.11502,0.052948,0.1435,1.16481155573719
335.78,1.7247,72.406,13.91,0.13169,0.11225,0.32056,0.22678,0.034241,0.037626,0.11318,0.052677,0.14163,1.1706282128630907
335.71,1.7257,72.165,14.007,0.13167,0.11228,0.32183,0.22686,0.034212,0.037676,0.11331,0.052674,0.14176,1.1722811278465484
335.71,1.6938,72.575,13.456,0.1317,0.11208,0.32379,0.22644,0.034506,0.037503,0.1126,0.052619,0.14108,1.1723208365825146
328.19,2.213,73.691,13.983,0.13198,0.11228,0.32243,0.22689,0.033971,0.037487,0.1133,0.052861,0.14186,1.1730634508668634
318.29,3.4896,74.376,15.777,0.1325,0.11296,0.3163,0.22829,0.032889,0.037791,0.11538,0.053167,0.14419,1.1734680565947717
329.09,0.94655,72.402,14.455,0.13125,0.1124,0.32452,0.22717,0.033606,0.037112,0.11382,0.05276,0.1409,1.1735377626819354
328.77,40.445,75.114,9.8219,0.13199,0.11058,0.33801,0.22228,0.04079,0.033831,0.10776,0.050792,0.13935,1.1753754311415994
329.55,40.024,74.939,9.877,0.13198,0.1106,0.33781,0.22234,0.040685,0.033934,0.10784,0.050789,0.13948,1.1754509495689172
329.55,40.025,74.939,9.8736,0.13198,0.1106,0.33791,0.22233,0.040692,0.033931,0.10783,0.050789,0.13947,1.1755434235000108
