Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
773.15,0.09596,272.48,8.6326,0.69179,0.079195,0.13862,0.051353,0.085993,0.071612,1.118564339937958
772.75,0.096814,272.35,8.6992,0.69322,0.078945,0.13813,0.051337,0.085691,0.07174,1.1190648601658817
776.94,0.095552,273.8,8.7038,0.69609,0.078982,0.13848,0.051372,0.085751,0.071747,1.1224272612085362
773.77,0.098505,272.41,8.7218,0.69821,0.078705,0.13795,0.051375,0.085375,0.071892,1.1235044244939425
769.68,0.096678,272.61,8.7068,0.6981,0.078998,0.13797,0.051305,0.085726,0.071711,1.1238155881551322
773.16,0.097476,275.08,8.7246,0.69808,0.078806,0.13822,0.051391,0.085428,0.071897,1.1238242246114443
766.61,0.10052,273.75,8.6985,0.69981,0.078703,0.13782,0.05138,0.085217,0.071955,1.1248820062333749
776.92,0.096631,273.83,8.683,0.70268,0.078928,0.13856,0.051406,0.085655,0.071797,1.1290345676230462
785.4,0.093377,273.6,8.745,0.70285,0.078943,0.13868,0.051385,0.085842,0.071733,1.1294317002517502
756.39,0.10594,271.55,8.6991,0.70656,0.078412,0.1369,0.051351,0.084724,0.072117,1.1300555172041318
