Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
429.86,13.954,193.67,229.49,422.26,4.9871,76.115,9.3177,0.22644,0.14243,0.030895,0.52015,0.060688,0.16145,0.050607,0.11794,0.13903,1.4496336963237282
431.85,12.971,191.55,235.66,408.79,5.3737,79.106,9.0883,0.22594,0.14167,0.031192,0.50798,0.060677,0.19188,0.051802,0.11753,0.13908,1.4677598936370726
429.88,13.194,195.36,249.67,407.54,5.3563,79.674,9.1464,0.22565,0.14165,0.0308,0.47802,0.060578,0.28461,0.051448,0.11726,0.13926,1.5292891564682487
431.28,13.059,197.26,239.18,391.43,5.3545,81.753,9.0072,0.22527,0.1405,0.031851,0.57327,0.060143,0.24221,0.052646,0.11715,0.13894,1.5819815700441935
429.87,13.306,197.23,249.88,386.11,5.3863,78.992,9.0522,0.22523,0.14111,0.031031,0.44119,0.060206,0.38774,0.051893,0.11679,0.13916,1.5943478954401482
429.93,10.653,197.12,247.2,386.79,5.3359,82.372,9.0444,0.22487,0.1401,0.032335,0.53442,0.060345,0.31219,0.053595,0.11743,0.13966,1.6149490198639425
430.0,11.789,194.37,252.01,386.24,5.7253,79.41,9.2103,0.22532,0.14136,0.030455,0.48763,0.060708,0.38102,0.051476,0.1172,0.13915,1.6343199541383084
430.13,13.136,190.14,229.78,402.28,5.6337,74.008,9.0272,0.22636,0.14273,0.030367,0.66924,0.060886,0.2059,0.050887,0.11732,0.13899,1.6426897559621323
429.97,11.804,132.8,250.68,385.91,5.8416,72.77,9.0905,0.22776,0.14529,0.027515,0.66463,0.06381,0.24724,0.050059,0.1175,0.1394,1.6832050122091515
429.96,13.446,196.68,243.07,388.33,4.7892,83.947,9.2503,0.22508,0.13992,0.032308,0.66833,0.059961,0.25053,0.052636,0.11737,0.13898,1.685123956686437
