Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1982.9,0.082318,94.757,9.5365,0.076114,0.052281,0.10194,0.056879,0.39992,0.10801,0.7951444800207893
1993.7,0.082991,94.759,9.4603,0.075984,0.052267,0.10186,0.056846,0.4007,0.10811,0.7957739396916507
1998.1,0.081733,96.732,9.4087,0.07605,0.052279,0.10202,0.056835,0.40255,0.10799,0.7977264637400651
1977.0,0.081599,97.237,9.2997,0.076017,0.052257,0.10192,0.05681,0.40969,0.10809,0.8047957769244011
1990.1,0.081138,98.251,9.2898,0.076031,0.052269,0.10203,0.056805,0.40991,0.10802,0.805066608054672
1977.8,0.082173,94.926,9.4063,0.076034,0.052247,0.10185,0.056835,0.41031,0.10811,0.805382765420065
1998.1,0.081531,98.527,9.4091,0.076084,0.052313,0.10211,0.05685,0.41036,0.10794,0.8056613617330375
1957.0,0.080744,98.072,9.2925,0.076126,0.052262,0.10197,0.056825,0.41105,0.10804,0.8062752857540664
1951.8,0.080592,97.706,9.2778,0.076133,0.05225,0.10195,0.05682,0.41301,0.10806,0.8082196012085725
1985.3,0.080373,98.48,9.2608,0.076082,0.052257,0.10207,0.056798,0.41435,0.10797,0.8095303948697554
