Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
306.5,214.05,76.518,9.7629,0.049692,0.13875,0.11094,0.10632,0.3043,0.043154,0.13355,0.029311,0.22149,1.1375135583183202
306.5,214.32,76.518,9.7629,0.049691,0.13875,0.11094,0.10632,0.30434,0.043159,0.13356,0.029306,0.22149,1.1375492301338288
298.93,212.36,77.311,9.8199,0.050105,0.13842,0.111,0.1064,0.30895,0.042971,0.13354,0.029406,0.2216,1.142382020973145
304.35,225.22,76.518,9.7505,0.049701,0.13866,0.11095,0.10639,0.3123,0.043383,0.13367,0.029132,0.22145,1.1456461856804647
304.51,226.7,76.462,9.7561,0.04967,0.1387,0.11094,0.1064,0.31694,0.043396,0.1337,0.029096,0.22144,1.1502867883363124
303.87,226.79,76.638,9.7892,0.049706,0.1387,0.11095,0.10644,0.31702,0.04332,0.1337,0.029087,0.22147,1.1503908809000454
304.39,226.78,76.464,9.7781,0.049665,0.13873,0.11094,0.10643,0.31767,0.043347,0.13371,0.029083,0.22145,1.1510226464146334
304.03,228.63,77.062,9.6886,0.049775,0.13846,0.11098,0.10636,0.31786,0.043569,0.13367,0.029115,0.22141,1.1512035073167297
303.71,228.6,77.028,9.6886,0.049784,0.13846,0.11098,0.10636,0.31789,0.043571,0.13367,0.029115,0.22141,1.1512436102633026
301.54,226.33,76.995,9.8404,0.049836,0.13864,0.11097,0.10648,0.31845,0.043196,0.1337,0.029099,0.22152,1.1518934019863036
