Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
7.7866,21.661,771.06,499.11,9.1789,766.15,110.26,2.7125,0.21548,0.137,0.033869,0.11649,0.11407,0.097073,0.081074,0.22011,0.090775,1.1059472252256368
7.5688,21.689,771.54,499.13,9.256,766.2,110.03,2.7017,0.21542,0.137,0.033857,0.11648,0.11412,0.097104,0.081334,0.22019,0.090943,1.1064515705292597
7.431,23.518,770.89,499.11,9.3668,766.22,109.12,2.7253,0.21849,0.13699,0.033887,0.11648,0.11404,0.096992,0.08077,0.22002,0.090612,1.1082773426280559
7.1114,21.758,767.49,495.85,8.9234,766.17,110.86,2.7468,0.21981,0.13701,0.033926,0.11657,0.11382,0.096958,0.080191,0.21986,0.090222,1.1083637592372568
7.7491,22.119,771.53,498.6,9.3498,766.55,110.1,2.6819,0.21671,0.13701,0.033832,0.11646,0.11422,0.097183,0.08184,0.22032,0.091254,1.108828132455608
7.5742,21.687,771.41,499.07,9.1495,766.2,109.91,2.67,0.21642,0.13703,0.033796,0.11651,0.11419,0.097306,0.082071,0.22035,0.091386,1.1090572203324227
7.3323,21.715,771.46,507.42,9.3007,758.95,109.55,2.774,0.22433,0.13698,0.033972,0.11649,0.11385,0.096794,0.079618,0.21973,0.089886,1.1116469055769098
7.009,22.149,726.44,499.09,9.123,766.96,110.34,2.6921,0.22098,0.13705,0.033836,0.11679,0.11375,0.097269,0.0814,0.22001,0.091033,1.112126383654977
7.7787,19.799,773.99,499.02,9.4002,766.18,109.83,2.6263,0.21849,0.13704,0.033764,0.11645,0.11451,0.097551,0.083257,0.22073,0.092138,1.1139283507857713
7.5666,21.679,714.89,499.2,9.8031,766.21,110.05,2.7029,0.22337,0.13701,0.033911,0.11669,0.11388,0.09713,0.081277,0.22006,0.091014,1.1143384541105532
