Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1999.7,0.13687,125.58,3.8676,0.11241,0.11524,0.10797,0.073527,0.040802,0.14628,0.14435,0.24528,0.21633,1.2021888853720621
1998.9,0.13687,125.58,3.8676,0.11242,0.11523,0.10797,0.073522,0.040795,0.14627,0.14435,0.24528,0.21674,1.2025788514094977
1998.7,0.13687,125.51,3.8676,0.11242,0.11523,0.10797,0.07352,0.04079,0.14627,0.14434,0.24528,0.21701,1.2028428821886945
1998.0,0.13687,125.7,3.8723,0.11242,0.11516,0.10802,0.073418,0.040748,0.14622,0.14431,0.24532,0.21746,1.2030686797915158
1999.5,0.13693,125.52,3.8761,0.11242,0.11511,0.10804,0.073345,0.040708,0.14618,0.14428,0.24534,0.21767,1.2030902498278448
1999.6,0.13691,125.44,3.8761,0.11242,0.11511,0.10803,0.073343,0.040703,0.14618,0.14428,0.24534,0.21805,1.203456835230701
1998.7,0.1369,125.44,3.8733,0.11242,0.11514,0.10801,0.073397,0.040726,0.14621,0.1443,0.24533,0.21811,1.2036341566709412
1998.9,0.13687,125.5,3.8806,0.11242,0.11504,0.10807,0.073244,0.040657,0.14613,0.14424,0.24538,0.21881,1.203987195761755
1999.5,0.13693,125.23,3.8716,0.11242,0.11517,0.10799,0.073436,0.040736,0.14623,0.14431,0.24531,0.21933,1.2049296830195344
1993.7,0.1369,125.83,3.8765,0.11243,0.11506,0.10806,0.073308,0.040683,0.14617,0.14425,0.24537,0.22002,1.2053622370399664
