Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1999.8,0.11462,123.4,19.97,0.13077,0.20744,0.055994,0.084169,0.071043,0.062182,0.6115952909073895
1999.3,0.11465,123.39,19.982,0.13077,0.2075,0.055998,0.084175,0.071036,0.062179,0.6116635329857304
1999.7,0.11469,123.38,19.965,0.13077,0.20755,0.055991,0.084162,0.07105,0.062183,0.6117061769919491
2000.0,0.11463,123.36,19.95,0.13075,0.2077,0.055985,0.084154,0.07106,0.062188,0.6118383073372229
1999.4,0.11462,123.34,19.995,0.1308,0.20806,0.056004,0.084181,0.071031,0.062176,0.6122505180449336
1991.9,0.11464,123.57,19.956,0.13061,0.20859,0.055967,0.084165,0.07104,0.062196,0.612568670436484
2000.0,0.11301,123.48,19.77,0.13049,0.20875,0.0559,0.084088,0.071132,0.062264,0.6126198801691585
1992.4,0.11464,123.34,19.972,0.13067,0.20861,0.055975,0.084162,0.071047,0.062194,0.6126590745352287
1991.7,0.11509,123.07,19.969,0.13072,0.2087,0.055971,0.084132,0.071084,0.062192,0.6127979271192161
1992.5,0.11437,123.57,19.912,0.13057,0.20898,0.055948,0.084144,0.071063,0.062212,0.6129104810704517
