Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
353.8,9.8552,12.614,4.9692,0.10979,0.10253,0.088933,0.083501,0.12895,1.4686,0.13753,0.22204,0.03786,2.379694265020756
355.94,9.8924,12.587,5.0384,0.10979,0.10251,0.088462,0.08297,0.12881,1.4835,0.13737,0.22196,0.037967,2.393349482690538
356.06,9.9477,11.948,5.2534,0.10977,0.10282,0.087446,0.082237,0.12871,1.4861,0.1371,0.22185,0.038011,2.394053721665153
357.24,9.9263,12.471,5.0009,0.10972,0.10262,0.088813,0.083521,0.12895,1.4882,0.13751,0.22205,0.037893,2.399304647337118
349.62,9.8576,12.569,4.9941,0.10983,0.10255,0.088806,0.083355,0.12897,1.4949,0.13748,0.222,0.037845,2.405732111249409
367.11,9.4601,12.43,5.0011,0.10988,0.10249,0.088646,0.083139,0.12856,1.4985,0.13752,0.22204,0.037806,2.408537666637994
366.85,9.4373,12.382,5.0725,0.10992,0.10248,0.088171,0.082564,0.12843,1.5021,0.13736,0.22195,0.037875,2.4108856912844994
368.65,9.4523,12.458,5.0056,0.10988,0.10247,0.088586,0.083043,0.12852,1.5017,0.1375,0.22203,0.037833,2.4115370994325946
378.27,9.4686,11.608,5.0044,0.10965,0.10314,0.089224,0.084489,0.12889,1.5061,0.13786,0.22228,0.037597,2.419265960942661
369.1,9.4606,12.0,5.1973,0.10989,0.10268,0.087584,0.08216,0.12835,1.5146,0.13722,0.22189,0.037914,2.422244087707128
