Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1992.5,0.16932,150.55,5.9704,0.12961,0.10064,0.060344,0.034016,0.11072,0.46104,0.1339,0.21843,0.047187,1.29589004346733
1999.8,0.16891,150.52,5.9651,0.12959,0.10063,0.060383,0.034046,0.11072,0.46111,0.13391,0.21842,0.047179,1.2959987012066045
1992.4,0.16894,150.44,6.0311,0.12983,0.10074,0.059976,0.033777,0.1107,0.46152,0.13388,0.21844,0.047224,1.2960908379534037
1992.3,0.16889,150.43,6.031,0.12983,0.10074,0.059976,0.033776,0.1107,0.46158,0.13388,0.21844,0.047225,1.2961459142338814
1997.3,0.16861,150.96,5.9396,0.12947,0.1006,0.060541,0.034138,0.11075,0.46118,0.1339,0.21843,0.047185,1.2961944746368266
1992.1,0.16959,150.57,5.9252,0.12945,0.10057,0.060628,0.034196,0.11075,0.46119,0.13391,0.21842,0.047165,1.2962751760178213
1992.6,0.16887,150.42,5.971,0.12961,0.10064,0.060327,0.034002,0.11072,0.4616,0.1339,0.21843,0.047195,1.2964243925906926
1970.3,0.17123,150.0,6.0485,0.12995,0.10076,0.059847,0.033692,0.11067,0.46207,0.13389,0.21844,0.04723,1.296555479221436
1991.9,0.16944,150.32,6.0364,0.12987,0.10074,0.059948,0.033764,0.11069,0.46201,0.13389,0.21843,0.047216,1.29656311144317
1999.4,0.16865,150.95,5.9544,0.12953,0.10062,0.060454,0.034086,0.11074,0.46167,0.1339,0.21843,0.047186,1.2966139011577331
