Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
705.89,0.42568,114.89,4.6428,0.13947,0.10465,0.058825,0.25143,0.37777,0.11364,0.10958,0.033737,0.13892,1.328013614190803
674.46,0.45732,115.51,4.6424,0.13949,0.10459,0.058732,0.25144,0.38728,0.11368,0.10953,0.033751,0.13896,1.337456510781304
684.16,0.45521,112.86,4.6682,0.13922,0.10435,0.058241,0.25152,0.38885,0.11367,0.1095,0.033412,0.13873,1.3374906382098342
675.45,0.45476,115.45,4.6636,0.13928,0.10444,0.058204,0.25149,0.38906,0.11367,0.10946,0.033593,0.13887,1.338063430665351
679.86,0.45248,115.41,4.6972,0.13895,0.10422,0.057479,0.25155,0.39277,0.11365,0.10932,0.033333,0.13867,1.3399376388486606
674.41,0.45632,115.61,4.6434,0.13948,0.10459,0.058703,0.25145,0.39103,0.11368,0.10954,0.033753,0.13897,1.3411911812538575
678.61,0.4603,115.15,4.619,0.1397,0.10476,0.059358,0.25137,0.39121,0.11368,0.10953,0.033879,0.139,1.3424943573260024
674.97,0.46908,112.87,4.6796,0.1391,0.10425,0.058012,0.25153,0.39759,0.11367,0.10944,0.033319,0.13866,1.3455666069951382
674.35,0.45457,116.11,4.6423,0.1395,0.10461,0.058707,0.25144,0.40058,0.11368,0.10953,0.033789,0.13899,1.3508207032097324
698.85,0.43479,112.35,4.6376,0.13953,0.1046,0.059041,0.25146,0.40013,0.11367,0.1098,0.033675,0.13893,1.3508336843777589
