Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
585.62,390.44,44.213,258.03,129.15,147.61,63.158,12.381,0.12115,0.2699,0.13046,0.11061,0.28214,0.024076,0.027571,0.10045,0.11553,1.1818958798181503
589.69,391.02,42.836,260.93,129.03,148.95,62.835,12.276,0.12121,0.26983,0.13071,0.11046,0.28529,0.024094,0.027491,0.10062,0.11584,1.1855440736827525
583.58,390.43,44.027,258.1,135.32,147.46,62.915,12.188,0.12099,0.26984,0.13053,0.11092,0.28944,0.02408,0.027405,0.10049,0.11651,1.1902170482196677
583.55,390.45,44.035,258.12,135.84,147.32,62.921,12.188,0.12099,0.26984,0.13052,0.11095,0.29025,0.024073,0.027393,0.1005,0.11657,1.1910763860559235
584.63,390.35,43.853,261.68,143.46,144.31,62.043,12.093,0.1209,0.26971,0.1305,0.11147,0.2915,0.023978,0.027065,0.10069,0.1178,1.1936126091427819
581.98,396.75,42.852,261.72,143.97,143.11,61.932,12.085,0.12081,0.26976,0.13053,0.11122,0.29813,0.024031,0.027048,0.10056,0.11768,1.199767388200704
594.44,396.71,42.333,261.38,144.0,144.58,61.864,12.04,0.12088,0.26976,0.13081,0.11132,0.29872,0.024118,0.026964,0.10091,0.11836,1.2018586253323627
568.23,396.71,42.658,260.9,143.98,143.35,62.286,12.121,0.12071,0.26976,0.13024,0.11078,0.3043,0.023952,0.027195,0.10018,0.11702,1.2041363129503366
587.59,390.88,43.051,257.69,145.38,145.16,62.566,12.108,0.12082,0.26979,0.13051,0.11133,0.3063,0.02402,0.02707,0.10076,0.11832,1.2089080504191274
581.67,396.73,43.378,261.67,143.79,143.27,61.642,12.072,0.12081,0.26978,0.13055,0.11132,0.30793,0.024053,0.027028,0.10055,0.11764,1.2096656725922792
