Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1349.2,0.19786,121.97,5.6207,0.05884,0.13217,0.14865,0.09777,0.06857,0.054876,0.5608695987426529
1337.0,0.20006,121.97,5.6395,0.058881,0.13202,0.14929,0.09764,0.068561,0.054845,0.5612405030215792
1349.2,0.19789,121.85,5.6033,0.058812,0.13222,0.149,0.097834,0.068586,0.054884,0.561335925071855
1347.8,0.19848,122.04,5.6257,0.058852,0.13214,0.15009,0.097737,0.068564,0.05487,0.5622577878315878
1328.3,0.19698,124.25,5.6219,0.058869,0.13181,0.15194,0.097642,0.068675,0.054788,0.563730641403593
1347.9,0.19846,121.62,5.4569,0.058499,0.13251,0.15729,0.098449,0.068733,0.054912,0.5703988147013535
1357.4,0.1965,123.18,5.6302,0.058865,0.13213,0.15825,0.097735,0.068576,0.054863,0.5704204951654847
1349.0,0.19881,121.21,5.7817,0.059081,0.13179,0.16019,0.097232,0.068379,0.054818,0.5714872488472995
1353.3,0.19816,121.54,5.4638,0.058511,0.13254,0.15856,0.098438,0.06871,0.05492,0.5716791852661418
1351.3,0.1959,121.89,5.7253,0.058988,0.1319,0.16046,0.097444,0.068477,0.054834,0.5720996300021682
