Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
330.24,47.127,76.257,10.872,0.13268,0.11058,0.31842,0.22356,0.038517,0.032655,0.10881,0.050481,0.14052,1.1562311978414503
328.03,46.707,76.877,11.604,0.13275,0.11112,0.33075,0.22421,0.037269,0.033105,0.1097,0.050765,0.14152,1.1711997702712398
332.11,46.355,76.259,11.443,0.13271,0.11099,0.33284,0.22408,0.037611,0.033125,0.10964,0.050639,0.14142,1.173063106367772
326.79,47.896,75.98,11.982,0.13275,0.11135,0.33489,0.22453,0.036813,0.03339,0.11023,0.050837,0.14213,1.1769153934850844
326.71,48.484,77.213,11.301,0.13271,0.1109,0.34088,0.22387,0.037695,0.032804,0.10922,0.050677,0.14106,1.179825691469933
324.84,38.104,78.135,11.993,0.13284,0.11156,0.33901,0.22479,0.036621,0.033292,0.11038,0.050999,0.1415,1.1809903549879999
327.93,47.846,76.663,11.949,0.13275,0.11134,0.3427,0.22448,0.036822,0.033293,0.11014,0.050846,0.14203,1.1843996524248372
326.25,48.869,76.102,11.263,0.13269,0.11086,0.34531,0.22385,0.037843,0.032891,0.10924,0.05062,0.14114,1.1844457623973885
327.12,47.71,76.763,12.28,0.13278,0.11151,0.34396,0.22481,0.036391,0.033445,0.11053,0.050981,0.1424,1.1868025795098012
326.78,47.705,75.546,12.194,0.13276,0.11144,0.35119,0.22474,0.036579,0.033563,0.11055,0.050884,0.14242,1.1941229586989932
