iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.2991386026212035,0.08873667361173201,0.3273843630988821
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.046547178919837694,0.08416623873561672,0.0733381247922896
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.1696520537220101,0.07803239514352725,0.19449053653879483
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.16251938667780796,0.07391979293767392,0.18604878755452833
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.18780336555971158,0.07235737345440658,0.21083543286854178
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.02386263992675791,0.07304099590927456,0.04711231102138982
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.03773317004539197,0.07302611716027282,0.06097810508712258
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.03307253391013695,0.07320814243069441,0.05637540939497803
9,494.02,0.50636,99.313,12.387,4.517e-06,0.02019246937727737,0.07325260144970444,0.043509496607399376
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.018666074965411197,0.07313503860835113,0.04194568078088258
11,455.66,0.58146,102.25,13.326,8.357e-06,0.022459803499822465,0.07319669785932675,0.045759036064454084
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.015727288381167912,0.07318171501001987,0.03902175175674194
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.02038658293274803,0.07314238789260416,0.04366852809805353
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.0650202875770337,0.07322810498481216,0.08832951734020393
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.01560161278922491,0.07321000402074888,0.038905080836584345
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.014845269269068925,0.07309178287953148,0.038111106358422936
17,437.44,0.5168,99.471,12.45,2.8377e-06,0.017670240727971846,0.0731358258608257,0.040950097133688815
18,445.22,0.51833,98.917,12.488,2.8929e-06,0.01748634383537202,0.07316350662342622,0.04077501130148184
19,302.32,0.50201,75.631,12.165,7.615e-08,0.042911312474927465,0.07302201075639501,0.0661549404077071
20,449.93,0.5193,98.884,15.039,2.9988e-06,0.022206556613582472,0.07319659243523509,0.04550575562068347
21,454.84,0.51094,99.596,13.087,2.7388e-06,0.017698173305349077,0.07318261198149908,0.04099292219581257
22,465.06,0.50021,100.15,13.338,2.7635e-06,0.017796326224928893,0.0731976549142677,0.04109586342960983
23,535.09,0.50025,107.32,15.897,1.6036e-05,0.027895250963910698,0.07329111757016879,0.051224538255953946
24,447.61,0.55455,95.569,10.085,4.8432e-06,0.018064121410170546,0.07306483728950162,0.041321381451828995
25,468.31,0.50973,101.2,15.953,2.7644e-06,0.014042694850425554,0.07319121497562547,0.03734018215897025
26,472.95,0.50022,100.1,14.985,2.6672e-06,0.015273365800563016,0.07321455752862266,0.03857828327449549
27,460.73,0.51702,98.837,15.315,2.3645e-06,0.014349207232535183,0.07318337631829033,0.0376441994189557
28,443.43,0.52069,103.03,15.98,2.5105e-06,0.01499001282281754,0.07308116950267621,0.038252471569392724
29,479.36,0.50002,100.61,15.499,2.7227e-06,0.015893724532751754,0.07322635909086875,0.03920239856061957
30,432.05,0.55958,104.15,15.982,3.5498e-06,0.015565593612089859,0.07309551429935741,0.03883261844926396
31,490.64,0.50988,114.47,14.942,1.1376e-05,0.018920557306270496,0.07311837319210021,0.04219485835499184
