Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g50),Error (curve),Error (g223),Error (g243),Error (g238),Error (g138),Error (g185),Error (g39),Reduced Error
3989.3,0.00088573,184.35,15.559,0.11435,0.095188,0.75599,0.26083,0.070982,0.15102,0.18493,0.075142,0.10282,1.8112499112314584
3922.8,0.00088098,184.33,15.071,0.11422,0.0955,0.77077,0.2684,0.070956,0.1513,0.18487,0.074779,0.10271,1.8334986560628705
3897.5,0.00089513,188.17,15.136,0.11426,0.095578,0.78328,0.2668,0.070976,0.15128,0.18485,0.074907,0.10271,1.8446397938844634
3958.3,0.00091372,183.43,15.32,0.11436,0.0951,0.78449,0.26664,0.070864,0.15107,0.18489,0.074725,0.10281,1.8449399792065622
3853.5,0.00093371,188.92,15.353,0.11441,0.096043,0.79035,0.26681,0.071003,0.15112,0.18501,0.074967,0.10258,1.852290743840423
3853.3,0.00092419,190.04,15.569,0.11444,0.096324,0.80105,0.26297,0.071105,0.15106,0.18509,0.075282,0.10253,1.8598435192398317
3908.4,0.00085517,183.12,14.312,0.11398,0.095059,0.81633,0.2794,0.070819,0.15174,0.18454,0.074136,0.10283,1.888830677410051
3877.8,0.00089632,199.39,15.082,0.11422,0.095247,0.83891,0.26299,0.070994,0.15142,0.18458,0.075213,0.10288,1.896447895448933
3808.1,0.00090154,202.06,15.64,0.11438,0.096706,0.84858,0.25714,0.0713,0.15122,0.18496,0.075946,0.10254,1.9027782134001359
3878.1,0.0010655,152.36,15.645,0.11482,0.097198,0.81583,0.29311,0.070734,0.15035,0.18606,0.073364,0.10204,1.9035074412347903
