Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1470.8,0.16817,124.2,8.7454,0.065489,0.12848,0.12795,0.089334,0.066651,0.0551,0.5330020229088773
1469.7,0.16808,124.19,8.7642,0.065518,0.12847,0.1281,0.089307,0.066639,0.055104,0.5331352583512841
1469.7,0.16803,124.6,8.5998,0.065272,0.12852,0.12855,0.08955,0.066751,0.055088,0.5337303224469304
1498.3,0.16512,124.49,8.5093,0.065148,0.12855,0.12857,0.089669,0.066801,0.055064,0.5338023005982193
1504.5,0.16425,124.36,8.4498,0.065064,0.12858,0.12866,0.089753,0.066837,0.055054,0.5339497212208012
1496.6,0.16569,124.27,8.429,0.065027,0.12859,0.12895,0.089784,0.066849,0.055046,0.534253154070396
1496.9,0.16572,124.29,8.4294,0.065027,0.12859,0.12915,0.089784,0.066848,0.055046,0.534445638009052
1498.3,0.16507,124.25,8.4291,0.065031,0.12859,0.12927,0.089784,0.06685,0.055049,0.5345722587168414
1495.5,0.16568,124.11,8.423,0.065021,0.1286,0.1293,0.089791,0.066853,0.055046,0.5346085924908633
1495.0,0.16568,124.15,8.4226,0.06502,0.1286,0.12931,0.089793,0.066853,0.055046,0.5346253315570341
