Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
630.94,0.46751,118.51,6.8908,0.12671,0.093396,0.030143,0.25967,0.41007,0.11455,0.41215,0.028916,0.13294,1.6085368298186706
627.52,0.46469,119.6,6.8948,0.12671,0.093443,0.030015,0.25964,0.40648,0.11455,0.42376,0.028981,0.13294,1.616525070578913
628.74,0.47234,118.55,6.8906,0.12669,0.093395,0.030158,0.25968,0.41586,0.11455,0.41683,0.028916,0.13292,1.6189965904553383
621.87,0.47384,118.2,6.9052,0.12665,0.093384,0.030007,0.2597,0.41575,0.11456,0.41833,0.02893,0.1329,1.6202078019658905
629.6,0.47126,116.66,6.8958,0.12667,0.093337,0.030185,0.25971,0.43198,0.11455,0.40265,0.028845,0.13295,1.6208749295944376
629.34,0.47228,118.51,6.8953,0.12668,0.093377,0.030132,0.25969,0.41898,0.11455,0.41576,0.02891,0.13291,1.6209886520325514
625.28,0.47044,118.53,6.9586,0.12647,0.093227,0.029598,0.25985,0.39665,0.11459,0.44015,0.028936,0.13279,1.6222605908765355
620.95,0.47402,119.04,6.9173,0.12661,0.093372,0.029884,0.25972,0.41451,0.11456,0.42508,0.028963,0.13286,1.625576103476481
626.53,0.4685,119.9,6.9101,0.12665,0.093396,0.029914,0.25969,0.41153,0.11456,0.42847,0.028984,0.13288,1.6260764635491243
621.39,0.47117,119.56,6.9107,0.12665,0.093412,0.029895,0.25969,0.41174,0.11456,0.4283,0.02899,0.13288,1.6261064941633734
