Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
114.3,225.96,140.2,229.67,156.32,38.954,72.37,18.197,0.11685,0.26957,0.11436,0.66846,0.9326,0.031273,0.032769,0.08019,0.10655,2.3526112710914098
115.12,142.31,137.6,229.74,168.44,33.349,73.013,17.501,0.1189,0.26972,0.11541,1.0072,1.0019,0.034677,0.032219,0.078697,0.10695,2.765593225277312
114.89,221.15,140.18,210.8,153.29,31.529,68.504,17.618,0.11731,0.26956,0.11505,0.24002,1.809,0.031122,0.031964,0.080271,0.10674,2.8010440081575707
117.28,222.43,137.32,210.41,154.61,32.137,67.498,17.7,0.11741,0.26963,0.11497,0.25246,1.9625,0.030996,0.031922,0.080233,0.10696,2.9670768464878226
114.8,221.83,137.21,203.19,156.03,32.15,67.228,17.634,0.11715,0.26961,0.11496,0.1531,2.0684,0.030906,0.031709,0.080462,0.10692,2.9731903136078293
113.9,221.43,137.36,202.6,155.51,32.135,67.308,17.645,0.11708,0.2696,0.11496,0.1459,2.0766,0.030901,0.031724,0.080515,0.10687,2.974126497629788
4.3631,147.66,122.24,472.72,157.63,138.07,54.621,15.194,0.10433,0.26095,0.12007,0.82871,1.3847,0.031449,0.04586,0.097132,0.11173,2.9849440677295864
77.027,226.9,138.63,231.14,158.15,32.774,70.217,17.159,0.11522,0.26914,0.11501,1.1355,1.1184,0.028873,0.032806,0.080789,0.10472,3.0005096331637082
115.41,148.36,137.4,226.16,148.09,34.923,71.072,17.816,0.11891,0.27015,0.11552,0.77968,1.4663,0.034453,0.03231,0.078643,0.10629,3.0022728067968814
77.736,141.69,137.84,231.87,168.03,38.174,70.719,17.156,0.1169,0.26993,0.1154,1.3647,0.90308,0.032608,0.031978,0.078909,0.10482,3.0183359062628567
