Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3039.3,6.987,410.31,6.8067,0.12816,0.069118,0.12031,0.15498,0.39622,0.13851,0.49458,0.10824,0.058042,1.6681651698783433
3040.9,6.967,409.79,6.8068,0.12818,0.069128,0.1203,0.15496,0.40069,0.13853,0.4979,0.10824,0.058048,1.6759777578066704
3048.5,6.939,409.8,6.8069,0.12842,0.069074,0.12035,0.15484,0.4095,0.13843,0.51829,0.10783,0.058092,1.7048377534381989
3014.6,6.9364,410.19,6.7864,0.12895,0.069181,0.12064,0.1542,0.41564,0.13841,0.5165,0.10594,0.058317,1.7077769799080236
3046.8,6.9482,411.17,6.8075,0.12876,0.068919,0.12043,0.15484,0.41238,0.13819,0.52153,0.10743,0.058167,1.7106353237476881
3049.1,6.9488,410.92,6.8085,0.12865,0.068947,0.1204,0.15487,0.41088,0.13824,0.52335,0.10762,0.058137,1.7111081533473558
3017.9,6.976,412.13,6.8003,0.12898,0.068887,0.12051,0.15477,0.40752,0.13807,0.5271,0.10704,0.058287,1.7111577794947204
3042.0,7.0902,410.77,6.8053,0.1274,0.069381,0.12025,0.15504,0.38458,0.13892,0.55053,0.10885,0.057837,1.7127840923480249
3048.0,7.0718,411.81,6.8146,0.1277,0.069098,0.1202,0.15533,0.3813,0.13856,0.57262,0.10921,0.0579,1.7319090567740671
3013.3,7.0225,406.35,6.7826,0.12716,0.06996,0.12031,0.15436,0.42652,0.1396,0.54826,0.10795,0.057868,1.7519893797849617
