Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
472.77,30.936,92.151,2.0247,0.043121,0.098758,0.098286,0.14559,0.2282,0.11168,0.20779,0.1145,0.12158,1.169506654611974
482.05,30.085,90.913,2.0039,0.043083,0.09869,0.099186,0.14586,0.22837,0.11235,0.20876,0.11454,0.12189,1.1727232325129353
466.19,30.936,92.151,2.0247,0.043145,0.098693,0.098245,0.14556,0.22817,0.1116,0.21224,0.1145,0.12151,1.1736703040070589
471.7,28.705,92.141,2.0239,0.043159,0.098868,0.098154,0.14559,0.22822,0.11165,0.21266,0.11453,0.12152,1.1743611626670867
451.17,13.988,91.845,2.0006,0.043618,0.10038,0.098317,0.14573,0.22861,0.11188,0.21651,0.11494,0.12097,1.1809630881816657
452.91,14.014,91.582,1.9993,0.043604,0.10035,0.098376,0.14575,0.22862,0.11193,0.21644,0.11494,0.12101,1.1810175810291916
453.61,14.03,91.575,1.9992,0.0436,0.10035,0.098391,0.14575,0.22863,0.11195,0.21642,0.11494,0.12102,1.1810480658637892
451.16,13.991,91.9,2.0006,0.043619,0.10039,0.098325,0.14573,0.22862,0.11189,0.21686,0.11495,0.12097,1.181344443772533
452.42,14.026,91.584,1.9989,0.043606,0.10034,0.098391,0.14575,0.22863,0.11194,0.21676,0.11494,0.12101,1.1813617876669387
452.77,14.012,91.543,1.9985,0.043604,0.10034,0.098412,0.14576,0.22863,0.11196,0.21729,0.11494,0.12102,1.181946476305803
