Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
504.02,4.5277,0.00069702,1.0175,0.10875,0.16898,0.11759,0.2058,3.2677,0.12366,3.9924634553223504
505.45,4.5258,0.00069641,1.0335,0.10784,0.16843,0.11696,0.20531,3.3199,0.12346,4.041860354960962
477.13,4.8322,0.00030548,1.0093,0.11165,0.17153,0.11982,0.20806,3.3221,0.12523,4.0583844230372685
507.52,4.8063,0.00065079,1.008,0.10944,0.1687,0.11862,0.20645,3.3372,0.1236,4.064019642796033
507.08,4.5167,0.001182,1.0328,0.10857,0.1683,0.11746,0.20536,3.3444,0.12308,4.067189654025472
552.66,4.5118,0.0012611,1.0071,0.10629,0.16608,0.11552,0.20318,3.372,0.12117,4.084259590716762
551.1,4.5259,0.0006894,1.0205,0.1046,0.16566,0.11448,0.20282,3.3902,0.12152,4.099294081161372
552.73,4.5168,0.001175,1.0198,0.1055,0.16569,0.11501,0.20283,3.4157,0.1211,4.125839354855152
540.98,4.8086,0.0012326,1.0188,0.10701,0.16604,0.11677,0.20422,3.4834,0.12162,4.1990536715491835
554.15,4.4406,0.001207,1.0513,0.10371,0.16474,0.11351,0.20164,3.5078,0.12065,4.2120284287364145
