Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1945.1,0.11784,125.79,19.38,0.13007,0.19829,0.055822,0.084337,0.071133,0.062255,0.6019071875432984
1944.7,0.1179,125.84,18.963,0.12994,0.19841,0.055818,0.08443,0.071027,0.062336,0.6019517551349914
1945.3,0.11778,125.56,19.381,0.1301,0.19845,0.05582,0.084323,0.071151,0.06226,0.6021042491078691
1945.6,0.1177,125.83,18.957,0.12993,0.19859,0.055818,0.084437,0.071019,0.06234,0.6021339654042839
1945.1,0.11783,125.96,19.379,0.13005,0.1992,0.055824,0.084352,0.071117,0.062252,0.6027911988058388
1962.2,0.11676,125.88,19.3,0.13009,0.19914,0.055827,0.08435,0.071116,0.062272,0.6027930923898749
1966.7,0.11702,125.59,18.943,0.13006,0.19913,0.055822,0.084377,0.071084,0.062342,0.6028158358899545
1934.8,0.11949,125.07,19.064,0.13009,0.19913,0.055815,0.084314,0.071162,0.062315,0.6028239570455072
1944.4,0.11784,126.0,19.408,0.13005,0.19941,0.055824,0.08435,0.071119,0.062246,0.6029928083605737
1946.6,0.11805,125.91,18.942,0.12994,0.19969,0.055819,0.084426,0.07103,0.062337,0.6032464530672705
