Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
439.44,9.5776,89.255,2.1922,0.043536,0.10215,0.090244,0.14354,0.22719,0.10642,0.22664,0.11427,0.11943,1.173428570427474
447.01,9.4527,90.16,2.1155,0.043527,0.10253,0.093443,0.14441,0.22776,0.10861,0.21981,0.11448,0.12006,1.1746377449926855
447.03,9.3714,90.168,2.1188,0.043528,0.10252,0.093308,0.14438,0.22773,0.10852,0.2209,0.11447,0.12004,1.1753867576841548
447.01,9.5831,90.268,2.1104,0.04353,0.10255,0.093658,0.14447,0.22779,0.10876,0.2213,0.1145,0.1201,1.1766717605335466
446.88,9.3926,90.095,2.1094,0.043526,0.10254,0.093678,0.14447,0.2278,0.10877,0.22209,0.1145,0.12011,1.177486749306391
446.87,9.3989,90.275,2.1056,0.043532,0.10256,0.093852,0.14452,0.22783,0.10889,0.22388,0.11452,0.12014,1.179732180288114
446.19,9.327,90.288,2.1069,0.043535,0.10255,0.093802,0.14451,0.22782,0.10885,0.22566,0.11452,0.12013,1.1813796097467604
449.89,9.5773,90.372,2.0929,0.043528,0.10262,0.094353,0.14466,0.22793,0.10925,0.22522,0.11457,0.12026,1.1823943752350807
452.31,9.3992,90.005,2.0915,0.04351,0.10262,0.094356,0.14466,0.22794,0.10926,0.2259,0.11455,0.1203,1.1830831561018615
450.15,9.4544,90.18,2.0883,0.043523,0.10262,0.094517,0.1447,0.22796,0.10936,0.22602,0.11458,0.12031,1.1835841378129086
