param_type,param_name,base,in_u_bound,out_u_bound,out_l_bound,in_l_bound
input,cp_tau_s,10,3.2902127469195284,1,0,2.354991502978481
input,cp_b,10,1.2956770340174648,1,0,0.4670454519877563
input,cp_tau_0,10,2.6912848818232695,1,0,1.8032112189832223
input,cp_n,10,1.2636834005571924,1,0,0.4239827296771757
input,average_strain,10,-0.5461162220128769,1,0,-2.1224501347392706
output,average_stress,10,3.725985096952106,1,0,2.7655791538978405
output,g59_phi_1,10,0.2822821563190965,1,0,0.22690908496548198
output,g59_Phi,10,0.3613500243522663,1,0,0.3409197934001626
output,g59_phi_2,10,0.6483502514447138,1,0,0.6327608884794388
output,g63_phi_1,10,0.3242824552976926,1,0,0.269956351932952
output,g63_Phi,10,0.4866712931924322,1,0,0.4418678766638016
output,g63_phi_2,10,0.6051649285461197,1,0,0.5750376639569877
output,g86_phi_1,10,0.32586443661534614,1,0,0.31251585566338685
output,g86_Phi,10,0.2855123020662439,1,0,0.25503116334555137
output,g86_phi_2,10,0.5728948258833766,1,0,0.558180377720982
output,g237_phi_1,10,0.33639968898608347,1,0,0.33481551250621205
output,g237_Phi,10,0.3610097126081429,1,0,0.3397693437687301
output,g237_phi_2,10,0.6215916758592177,1,0,0.612932127083471
output,g303_phi_1,10,0.41617434745708776,1,0,0.40329214515825423
output,g303_Phi,10,0.32145343433334456,1,0,0.30085624311839365
output,g303_phi_2,10,0.6659372852220151,1,0,0.6501714811836143
