iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.30040318903807767,0.0886043217343841,0.32860682060474145
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.046311954875409456,0.08401676591480653,0.07305532207128171
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.17286203276117695,0.07792575186750474,0.1976665699689087
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.16258362899762144,0.07378583046819447,0.1860703882959289
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.19088190821173479,0.07225751334223102,0.21388218905962408
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.022941094395487117,0.07299171586440195,0.046175079164644486
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.03760638160070838,0.07292670033410079,0.06081967128381541
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.03034760856620819,0.07315325350625265,0.05363301236375746
9,494.02,0.50636,99.313,12.387,4.517e-06,0.017733032152376933,0.07317283605785391,0.04102466926969758
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.018679413821683286,0.07304899347317814,0.041931630619971086
11,455.66,0.58146,102.25,13.326,8.357e-06,0.020475765475579517,0.0731475903773119,0.04375936664320021
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.016408206117215492,0.07310977106051049,0.03967976902240958
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.018481963223724023,0.07307945588154022,0.04174387650775044
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.0626187469753985,0.07313685566835973,0.08589893117903441
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.01595616611183467,0.07313418012799724,0.03923549866452232
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.0171461603742054,0.07303480574710655,0.04039386107902215
17,437.44,0.5168,99.471,12.45,2.8377e-06,0.01872433125331012,0.07305092019116263,0.04197716134498027
18,445.22,0.51833,98.917,12.488,2.8929e-06,0.01694557751280582,0.07307052171605757,0.04020464696363431
19,302.32,0.50201,75.631,12.165,7.615e-08,0.04664698405427986,0.07290911662962568,0.06985467667041673
20,449.93,0.5193,98.884,15.039,2.9988e-06,0.020895925913633977,0.07312108049610792,0.04417108872398588
21,454.84,0.51094,99.596,13.087,2.7388e-06,0.01711802970017852,0.0730881902711625,0.04038272322677149
22,465.06,0.50021,100.15,13.338,2.7635e-06,0.017044728714438802,0.07311325245386283,0.04031739978155463
23,535.09,0.50025,107.32,15.897,1.6036e-05,0.027980636834331038,0.07318646653047374,0.05127661266583994
24,447.61,0.55455,95.569,10.085,4.8432e-06,0.017564944981385618,0.07303197223997905,0.04081174375287111
25,468.31,0.50973,101.2,15.953,2.7644e-06,0.014594907219288002,0.07311805339992397,0.03786910647499813
26,472.95,0.50022,100.1,14.985,2.6672e-06,0.015127750576452256,0.07313713214873462,0.03840802278652483
27,460.73,0.51702,98.837,15.315,2.3645e-06,0.016552018957578112,0.07310766665626828,0.039822912010097376
28,443.43,0.52069,103.03,15.98,2.5105e-06,0.01784097657546062,0.07304013677721279,0.04109037419986373
29,479.36,0.50002,100.61,15.499,2.7227e-06,0.014838076177749177,0.07314577656924506,0.03812109999233056
30,432.05,0.55958,104.15,15.982,3.5498e-06,0.014367735307324792,0.07301044159206013,0.03760768066072175
31,490.64,0.50988,114.47,14.942,1.1376e-05,0.018005300049273993,0.0730336628357062,0.04125263695409298
32,362.95,0.57257,87.65,15.982,1.9686e-07,0.020227417165834285,0.07301990472812173,0.043470374728993955
