Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
307.37,901.35,74.54,2.1515,0.10896,0.14094,0.043,0.11955,0.22271,0.11671,0.098271,0.33836,0.094917,1.2834122067782545
313.85,902.71,71.837,2.1422,0.10906,0.14086,0.042803,0.11981,0.22273,0.11673,0.098406,0.34514,0.094869,1.2904042852828992
302.86,901.36,73.416,2.1199,0.10935,0.14101,0.043106,0.11958,0.2228,0.11675,0.09879,0.35087,0.094939,1.2971763416374498
315.47,898.7,75.123,2.1893,0.10847,0.14083,0.042799,0.1196,0.22261,0.11668,0.097624,0.35414,0.094877,1.2976228858005698
304.27,901.29,75.239,2.1526,0.10896,0.14098,0.043084,0.11945,0.2227,0.11671,0.098266,0.35366,0.094936,1.2987365416430041
316.55,899.84,72.782,2.1247,0.10932,0.14093,0.042763,0.12003,0.22281,0.11669,0.098756,0.35447,0.094874,1.3006388687086619
308.3,931.91,74.227,2.1542,0.10905,0.14093,0.04303,0.11953,0.22261,0.11669,0.098413,0.35709,0.094963,1.3023228693157505
307.91,862.05,76.538,2.2015,0.10815,0.14086,0.042914,0.11933,0.22267,0.11672,0.097164,0.3774,0.094835,1.3200280180332071
278.49,567.24,79.744,2.2603,0.10636,0.14086,0.043429,0.11832,0.22302,0.11733,0.093208,0.38963,0.094198,1.326347185091939
278.35,569.0,80.194,2.2772,0.10611,0.14083,0.043418,0.11824,0.22297,0.1173,0.09293,0.39951,0.094259,1.3355610414874333
