Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
578.87,51.744,456.88,585.44,359.2,3.9645,77.016,4.8146,0.21948,0.12413,0.049999,0.32562,0.049429,0.10178,0.070069,0.1126,0.1409,1.1940107531822757
575.21,49.094,407.12,583.68,363.25,3.9374,77.971,4.9652,0.21892,0.12486,0.049969,0.32546,0.050108,0.1025,0.071808,0.11256,0.14111,1.1972913721538325
575.21,49.094,387.62,583.68,363.25,3.9374,77.971,5.0082,0.21871,0.12519,0.050023,0.32621,0.050367,0.10284,0.072731,0.11251,0.14123,1.1998028365596525
574.61,48.528,387.41,588.54,356.92,3.9317,78.026,4.9945,0.21868,0.12523,0.049894,0.32636,0.05038,0.10293,0.072868,0.11241,0.1412,1.1999581753689765
583.86,49.87,387.45,586.16,357.07,3.9371,78.046,5.0291,0.21865,0.12532,0.049996,0.32644,0.05037,0.10303,0.072883,0.1124,0.14125,1.2003425137429875
573.73,49.093,386.81,583.69,363.37,3.9341,77.988,5.0082,0.2187,0.1252,0.049983,0.32703,0.050372,0.10286,0.072734,0.1125,0.14122,1.2006076623858035
575.12,50.348,388.05,583.74,363.43,3.9353,77.787,4.999,0.21872,0.1252,0.050042,0.3278,0.050328,0.10288,0.072747,0.11249,0.14122,1.2014180202390539
576.14,50.463,378.02,584.09,363.29,3.8594,77.977,4.9971,0.21859,0.12531,0.050204,0.32671,0.050453,0.10302,0.073423,0.11249,0.14129,1.2014879027176872
575.3,50.086,387.72,583.64,363.35,4.2167,77.426,4.9828,0.21873,0.12516,0.050189,0.32886,0.050348,0.10279,0.072871,0.11246,0.14121,1.2026139107122722
575.18,48.44,387.74,583.43,363.27,3.8266,78.011,5.0146,0.2187,0.12519,0.05,0.32917,0.050383,0.10283,0.072696,0.11253,0.14124,1.2027467917576153
