Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
21.347,812.09,0.037476,656.89,667.51,837.27,48.06,2.5439,0.12942,0.48934,0.048294,0.16393,0.22291,0.14421,0.10018,0.049086,0.04305,1.3904219575861185
21.835,809.1,0.033087,656.39,666.71,853.08,52.08,2.5386,0.12888,0.55917,0.047915,0.16176,0.22274,0.11652,0.10074,0.049312,0.042719,1.4297493068967007
12.466,824.42,0.039859,666.43,656.72,829.59,47.599,2.5904,0.1298,0.52407,0.048356,0.16534,0.22297,0.16853,0.099885,0.049436,0.043736,1.452117725291019
13.015,816.24,0.037787,656.58,665.21,855.09,48.865,2.5395,0.1294,0.56485,0.04821,0.16413,0.22292,0.14321,0.10025,0.04958,0.043534,1.4660872882666853
13.133,816.05,0.041909,656.58,665.15,829.79,49.348,2.5226,0.12978,0.51606,0.048554,0.16501,0.22296,0.19423,0.099834,0.048924,0.043361,1.4687183174784
33.577,808.82,0.11174,656.59,665.94,829.82,48.899,2.5264,0.12951,0.56101,0.048469,0.16367,0.22279,0.18915,0.10008,0.048123,0.043282,1.5060763030980748
9.1365,542.42,176.18,665.88,554.7,609.53,18.428,8.9095,0.13009,0.63944,0.049978,0.15589,0.22427,0.11667,0.10302,0.044013,0.047367,1.5107397365018016
32.794,499.35,232.58,653.83,693.47,578.02,19.156,8.0182,0.12693,0.67286,0.047423,0.15261,0.22293,0.11073,0.10361,0.047443,0.048462,1.532996701719979
38.002,816.76,0.10158,657.36,665.18,818.51,48.02,2.5384,0.12936,0.62803,0.048338,0.16367,0.22284,0.16332,0.10011,0.048355,0.043392,1.5474322391963933
13.481,740.67,0.64947,655.84,664.1,831.21,43.89,1.9146,0.13258,0.671,0.054335,0.17731,0.22384,0.11112,0.096669,0.042334,0.044534,1.5537312092159659
