Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3676.7,2.3243,42.241,6.3189,0.093777,0.14684,0.071774,0.16194,0.94226,0.4963,0.080769,0.12597,0.31131,2.430939258357411
3623.2,2.0743,41.622,6.2969,0.094018,0.14755,0.07229,0.16203,0.95967,0.49679,0.080489,0.12577,0.31537,2.4539792584855316
3653.1,2.4978,41.298,6.3194,0.093564,0.14699,0.071615,0.16194,0.95054,0.53027,0.081323,0.126,0.31315,2.475388202392781
3622.8,2.0425,40.93,6.34,0.094331,0.14796,0.072088,0.16173,0.99779,0.50022,0.080295,0.12566,0.31521,2.4952874877056637
3637.2,2.4652,40.797,6.3185,0.093596,0.14727,0.071693,0.16192,0.95392,0.58946,0.081381,0.12592,0.31464,2.5397866865716856
3644.7,1.947,40.926,6.3436,0.094472,0.14803,0.072197,0.16167,1.0074,0.54108,0.079991,0.12564,0.31479,2.5452864613996837
3664.1,2.3205,40.191,6.314,0.093639,0.14766,0.071994,0.16181,1.0224,0.53533,0.081251,0.12574,0.31577,2.5556176442115186
3660.1,2.4678,42.323,6.3744,0.094025,0.14677,0.071203,0.16171,1.0722,0.49877,0.08076,0.1261,0.30927,2.560831229535006
3624.0,1.9931,41.373,6.2969,0.094116,0.14777,0.072449,0.16199,0.97211,0.59246,0.080335,0.1257,0.31605,2.5629801689580387
3484.9,2.0562,40.359,6.2368,0.093768,0.1482,0.072694,0.1626,1.0444,0.53411,0.081187,0.12577,0.32408,2.5868336050433642
