Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1310.8,0.20014,123.39,5.5494,0.058835,0.13181,0.17737,0.09788,0.068789,0.054605,0.5892887083676206
1312.4,0.20045,123.39,5.5622,0.058879,0.13179,0.17765,0.097805,0.06877,0.054603,0.589499209259937
1320.3,0.19925,123.28,5.5493,0.058844,0.13182,0.17761,0.097864,0.068785,0.0546,0.5895275939649632
1310.9,0.19986,123.38,5.5486,0.058832,0.1318,0.17767,0.097884,0.068792,0.054605,0.5895844333045716
1329.6,0.19731,123.5,5.5526,0.058855,0.13181,0.17776,0.097843,0.068786,0.054604,0.5896556321123773
1310.4,0.19988,123.54,5.5487,0.058829,0.1318,0.17775,0.097892,0.068793,0.054608,0.5896714873017743
1300.0,0.20125,123.38,5.7103,0.059365,0.13151,0.17864,0.096971,0.068619,0.054616,0.5897192319825534
1307.7,0.2005,123.61,5.5462,0.058817,0.13181,0.17778,0.097914,0.068795,0.054609,0.5897235480297944
1311.0,0.20095,122.57,5.5812,0.058959,0.13177,0.17804,0.097658,0.068741,0.05459,0.5897518806221113
1307.7,0.20083,122.89,5.543,0.058823,0.13182,0.17799,0.097897,0.068792,0.054596,0.5899244880115775
