iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,83.99,6.1674,47.796,13.845,3.2362e-05,0.4806028253555279,0.07222669876330556,0.5035932976183066
2,226.28,0.07443,57.829,14.074,3.1666e-05,0.14056750368079718,0.07353814945640226,0.16397542366443119
3,313.01,4.6363,64.219,15.739,4.7744e-05,0.05177145317750785,0.07382647157320218,0.0752711489413247
4,275.74,0.060354,64.129,14.575,4.7301e-05,0.03425280997237493,0.07364085482681001,0.05769342209077388
5,267.61,0.11307,62.364,15.043,5.3439e-05,0.05895761711178575,0.07364199498486942,0.08239859215376683
6,222.09,414.08,62.556,13.728,5.46e-05,0.02431824878528955,0.07427985088119977,0.047962259665033195
7,239.74,247.89,64.463,15.775,4.9311e-05,0.014291394127785543,0.07378800960737972,0.03777884706763904
8,208.0,484.22,63.669,14.118,5.4619e-05,0.023476564366183585,0.07446278124756747,0.04717880379002529
9,206.6,511.04,63.66,15.163,5.7604e-05,0.019166647780517007,0.07459049190527586,0.04290953876927833
10,280.74,0.00059503,47.098,14.425,4.8369e-05,0.1693736596993633,0.07416819467579631,0.19298212930507325
