Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g190),Error (g237),Error (g60),Error (g79),Error (curve),Error (g215),Error (g278),Error (g189),Error (g178),Reduced Error
270.86,1.9413,484.57,10.078,0.30103,0.1272,0.1287,0.11239,0.9414,0.10629,0.10216,0.24254,0.068728,2.130446105287941
283.33,1.9917,484.26,10.154,0.30157,0.12736,0.12875,0.1128,0.94318,0.10638,0.10221,0.24275,0.069015,2.1340064686981983
272.37,1.9357,484.48,10.109,0.30099,0.12714,0.12874,0.11233,0.94524,0.10632,0.10215,0.24252,0.068648,2.134073339292459
278.74,1.9009,484.58,9.961,0.30155,0.12696,0.12884,0.11261,0.94586,0.10657,0.10218,0.24258,0.068649,2.135803561968396
270.94,1.9668,485.41,10.223,0.30073,0.12728,0.1287,0.1122,0.94767,0.10616,0.10214,0.24252,0.068698,2.136089602152811
278.13,1.956,490.37,10.2,0.30112,0.1272,0.12885,0.11233,0.94702,0.10628,0.10217,0.24257,0.068708,2.1362546576271098
267.86,1.9926,483.42,10.144,0.3009,0.1275,0.12855,0.11246,0.94725,0.1061,0.10216,0.2426,0.068971,2.1365053915967454
284.74,2.0232,484.07,10.301,0.30134,0.12744,0.12874,0.11268,0.94673,0.10628,0.10221,0.24276,0.069018,2.1372016914895497
288.75,1.9253,485.01,10.035,0.30186,0.127,0.12892,0.1128,0.94688,0.10666,0.10222,0.24269,0.068757,2.137764832411419
289.44,2.0111,484.3,10.281,0.30156,0.12734,0.12882,0.11277,0.94816,0.10639,0.10222,0.24279,0.068986,2.139033225849801
