Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1731.2,0.13847,126.07,6.2537,0.068607,0.054663,0.094493,0.060795,0.17595,0.13059,0.5850949522688843
1741.7,0.1382,125.8,6.263,0.068571,0.054665,0.094418,0.060872,0.17813,0.13059,0.5872514147871755
1741.7,0.13791,124.87,6.4198,0.068377,0.054699,0.09376,0.061382,0.17904,0.13049,0.5877420919560595
1756.7,0.13704,125.38,6.3182,0.068489,0.054676,0.094182,0.061072,0.17952,0.13054,0.5884829467230619
1741.5,0.13826,125.15,6.4098,0.068384,0.054702,0.093817,0.061337,0.18087,0.13049,0.5896018726332727
1744.9,0.1377,124.03,6.4164,0.068367,0.054687,0.093685,0.061454,0.18248,0.13054,0.5912106394466711
1741.8,0.13951,124.88,6.2317,0.068562,0.054656,0.09442,0.060891,0.18389,0.13074,0.5931633060111585
1750.5,0.13694,126.76,6.3005,0.068548,0.054683,0.094398,0.060886,0.18467,0.13046,0.593647043327393
1741.7,0.13659,124.87,6.4168,0.068412,0.054686,0.093798,0.061341,0.18717,0.13044,0.5958417869373409
1741.7,0.13685,125.52,6.2425,0.068627,0.054646,0.094507,0.060798,0.18702,0.13059,0.5961880100935244
