Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
727.72,2.3638,238.82,1.0144,0.11347,0.11347088056690642
727.72,2.3618,238.82,1.0144,0.11348,0.11348125508389238
727.72,2.3618,238.83,1.0144,0.11348,0.11348138264569721
727.89,2.3664,239.26,1.0144,0.11349,0.113492909349784
727.9,2.3667,239.45,1.0144,0.11351,0.11351361841022091
727.9,2.3669,239.5,1.0144,0.11352,0.11351858559614772
727.91,2.3668,239.5,1.0144,0.11352,0.11351878512812533
727.75,2.3666,239.45,1.0144,0.11352,0.11352355042715795
727.86,2.3639,239.44,1.0144,0.11352,0.11352487044957792
727.85,2.364,239.45,1.0144,0.11353,0.11352598655887046
