Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
330.72,0.066107,75.061,10.049,0.13164,0.10884,0.34711,0.22707,0.035996,0.042967,0.10861,0.054376,0.14591,1.2025134069893717
338.57,0.11215,73.354,10.517,0.13142,0.1095,0.35743,0.22654,0.036054,0.042729,0.10867,0.053974,0.14548,1.2117988791600172
323.99,0.065102,76.807,10.038,0.13168,0.10878,0.35857,0.22717,0.035605,0.043141,0.10876,0.054709,0.14595,1.2143736287922982
332.33,0.060017,74.023,10.105,0.1316,0.10885,0.36129,0.2272,0.036009,0.043177,0.10878,0.05429,0.14614,1.217332842556255
330.62,0.03917,75.085,10.084,0.13166,0.10856,0.35959,0.22773,0.03562,0.043862,0.10914,0.054577,0.1469,1.2176299970963615
322.62,0.060045,75.69,10.075,0.13163,0.1088,0.37652,0.22732,0.035622,0.043286,0.10885,0.054646,0.14613,1.2327936129280395
330.46,0.066934,76.392,9.9499,0.13171,0.10873,0.38727,0.227,0.036,0.042807,0.1085,0.054472,0.14578,1.2422634240954935
333.81,0.066804,75.799,10.133,0.13166,0.1089,0.38676,0.22704,0.035814,0.043145,0.10864,0.054468,0.146,1.2424217375850006
325.1,0.064381,77.225,10.004,0.13171,0.10874,0.38864,0.22715,0.035629,0.043098,0.10875,0.054722,0.14593,1.244360369631688
331.09,0.06798,74.14,10.001,0.13162,0.10883,0.40494,0.22702,0.036239,0.042764,0.10858,0.05421,0.14579,1.2599976151764114
