Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
576.67,397.33,44.948,243.15,152.82,242.02,62.091,11.824,0.11913,0.2691,0.13054,0.10651,0.41934,0.025568,0.028851,0.10077,0.12262,1.3224422333721686
576.74,401.91,45.571,243.18,153.89,250.68,62.082,11.803,0.11899,0.26905,0.13053,0.10619,0.42289,0.025757,0.028993,0.10073,0.12261,1.3257539350587435
581.23,408.96,46.563,240.98,125.97,240.94,63.579,11.905,0.11922,0.26875,0.13088,0.10852,0.43119,0.025992,0.02995,0.10108,0.12054,1.3361186255317434
568.85,407.25,81.926,249.68,79.417,22.444,61.456,7.7058,0.12945,0.27443,0.13592,0.19212,0.35675,0.024513,0.02589,0.087583,0.11338,1.340037836371486
577.84,409.3,46.106,244.33,134.44,84.382,63.074,11.322,0.12137,0.2701,0.1311,0.11128,0.43977,0.024443,0.026243,0.09949,0.11799,1.3417862399249543
575.8,412.9,46.838,244.45,116.75,149.88,63.645,11.384,0.1209,0.26936,0.13162,0.11168,0.43762,0.02499,0.028136,0.10054,0.11867,1.3435198973613645
556.88,405.28,46.502,241.36,116.93,149.35,63.678,11.282,0.12121,0.26955,0.13161,0.11146,0.43903,0.024784,0.027836,0.10019,0.11828,1.343943949766943
577.95,396.53,43.844,244.34,132.8,242.32,62.342,11.375,0.11984,0.26836,0.13136,0.11241,0.43258,0.025711,0.02943,0.10163,0.12327,1.3445948322493217
559.95,410.58,45.8,255.48,119.12,132.94,62.87,11.36,0.12128,0.2697,0.13171,0.11213,0.44214,0.02456,0.027661,0.099935,0.11773,1.3468354052930205
581.53,409.08,46.162,241.24,125.93,255.25,63.405,11.89,0.11907,0.2686,0.13088,0.109,0.44271,0.026154,0.030213,0.10122,0.12098,1.3488288447991155
