Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
304.74,774.94,81.489,3.2723,0.093217,0.13874,0.043676,0.1136,0.21922,0.11893,0.075096,0.30364,0.095548,1.2016569041103646
304.72,774.98,81.493,3.2634,0.093339,0.13875,0.04367,0.11363,0.21924,0.11888,0.075282,0.30415,0.095537,1.2024879992069277
299.72,851.53,81.93,3.2182,0.095266,0.13883,0.043618,0.1143,0.21923,0.11894,0.078077,0.29896,0.095362,1.2025854282028214
304.25,774.32,81.247,3.3189,0.092574,0.13866,0.043717,0.11341,0.21908,0.11919,0.074133,0.30659,0.095596,1.2029462274552942
304.25,774.95,81.475,3.2705,0.09325,0.13874,0.043676,0.11361,0.21922,0.11892,0.07515,0.30517,0.095545,1.2032729163325744
305.16,771.37,81.337,3.2722,0.093144,0.13874,0.043677,0.11357,0.21923,0.11893,0.074988,0.30551,0.095556,1.2033323539334588
304.4,786.35,80.791,3.3185,0.092761,0.13866,0.043726,0.11347,0.21907,0.11925,0.074396,0.30663,0.095596,1.203552937509083
303.4,774.38,81.243,3.3182,0.092601,0.13866,0.043718,0.11342,0.21907,0.11919,0.074181,0.30768,0.095593,1.204110916975071
303.37,773.38,81.495,3.295,0.092912,0.1387,0.043694,0.11351,0.21914,0.11904,0.074643,0.30694,0.095566,1.20414569588967
303.28,773.49,81.513,3.2962,0.092901,0.1387,0.043695,0.11351,0.21913,0.11905,0.074628,0.30699,0.095567,1.2041688218102768
