Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
3352.6,0.16039,314.89,19.403,1.6093,0.30487,0.12047,0.16761,0.11518,0.17265,0.057618,0.071831,0.10845,2.7279744046863468
31.313,2.7296,467.85,18.729,1.5398,0.48789,0.11693,0.12451,0.14868,0.15266,0.073409,0.051167,0.096847,2.791875202510866
32.892,2.6474,427.14,19.389,1.7254,0.29107,0.11479,0.12433,0.15399,0.15358,0.081099,0.049841,0.10139,2.7954436496029786
32.953,2.6508,440.97,19.097,1.6784,0.34593,0.11607,0.12436,0.15228,0.15346,0.078457,0.050428,0.099535,2.7989121313230023
32.819,2.6075,458.47,18.778,1.5921,0.47762,0.117,0.1245,0.15048,0.15333,0.075648,0.050803,0.097765,2.839280977045698
33.006,2.6078,457.58,18.788,1.6117,0.46288,0.11711,0.12449,0.15056,0.15339,0.075739,0.050855,0.097777,2.844487658159229
32.75,2.6783,455.68,18.944,1.6788,0.39666,0.11737,0.12437,0.15038,0.15307,0.075587,0.051054,0.097684,2.845008740256025
32.081,2.6481,476.07,18.702,1.6022,0.48289,0.11789,0.1243,0.14839,0.15279,0.072938,0.051331,0.095609,2.848338054979512
33.569,2.6445,417.61,19.397,1.6435,0.4232,0.11398,0.1244,0.15504,0.15406,0.082368,0.049777,0.10302,2.849395779204528
32.818,2.6086,458.45,18.761,1.6,0.48072,0.11695,0.12452,0.15045,0.15336,0.075599,0.050811,0.097816,2.8502210269095674
