Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (curve),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
575.97,0.48519,120.98,11.962,0.088004,0.25376,0.066689,0.064444,0.1276,0.05533,0.6558213492463996
579.92,0.47929,121.63,11.752,0.088177,0.2558,0.066527,0.06459,0.12754,0.055335,0.6579728478943606
615.27,0.4529,118.3,11.753,0.088096,0.25658,0.066688,0.064583,0.12799,0.05535,0.6592833299204908
569.61,0.49801,119.88,11.751,0.088036,0.25722,0.066669,0.064544,0.12764,0.055293,0.6594037642240609
567.22,0.50005,119.92,11.762,0.088031,0.25783,0.066671,0.064536,0.12763,0.055291,0.6599809516629745
573.77,0.49145,119.77,12.343,0.087781,0.25806,0.066903,0.064202,0.12773,0.055343,0.660021379432451
569.77,0.49431,120.43,11.743,0.088082,0.25792,0.06662,0.064566,0.12759,0.055301,0.6600728169193978
568.96,0.49763,119.82,11.752,0.088036,0.25791,0.066669,0.064547,0.12764,0.055291,0.6600929334391671
569.26,0.49587,120.0,12.249,0.087818,0.25842,0.066865,0.064247,0.12768,0.05533,0.6603602755956319
569.08,0.49588,119.96,12.256,0.087815,0.25843,0.066868,0.064245,0.12768,0.055329,0.6603713041633764
