Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1429.0,0.32831,157.02,1.447,0.18832,0.12031,1.1517,0.16852,0.25206,0.18736,0.21119,0.1203,0.12662,2.526387139026145
1351.3,0.32063,159.34,1.5084,0.18749,0.11966,1.2061,0.16814,0.25267,0.18583,0.24457,0.1149,0.12617,2.6055059490712567
1434.3,0.33097,149.06,1.5111,0.18746,0.11973,1.2711,0.16794,0.25248,0.18602,0.24102,0.1163,0.1262,2.668230417794412
1393.4,0.43553,137.0,1.4975,0.18819,0.12052,1.2975,0.16883,0.2526,0.1869,0.22433,0.11896,0.12641,2.6842526961623507
1502.0,0.43815,131.27,1.4383,0.18881,0.12118,1.3729,0.16917,0.25201,0.18831,0.20018,0.11734,0.12692,2.7368161955385717
1505.7,0.45882,131.82,1.4507,0.18864,0.12099,1.3763,0.16902,0.25204,0.18803,0.2013,0.11734,0.12681,2.740504796162246
1490.4,0.4604,128.57,1.4527,0.18872,0.12113,1.3864,0.16916,0.25214,0.18808,0.20119,0.11731,0.12683,2.7509951443303624
1512.9,0.30802,143.95,1.5109,0.18734,0.11965,1.372,0.16758,0.25224,0.18606,0.24028,0.11755,0.1262,2.7689282611775106
1400.4,0.44445,128.47,1.5162,0.18806,0.12058,1.3902,0.16885,0.25279,0.18668,0.22621,0.11738,0.12635,2.7771301523404888
1502.3,0.46066,136.0,1.4407,0.18873,0.121,1.4226,0.16908,0.25197,0.18817,0.2007,0.11742,0.12686,2.7864865665879552
