Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1873.9,0.17243,151.42,6.1592,0.13018,0.10164,0.059163,0.033017,0.11074,0.34271,0.13394,0.2185,0.047492,1.1773930267773796
1882.0,0.17176,151.68,6.3039,0.13052,0.10191,0.058459,0.032572,0.11072,0.34348,0.13392,0.21851,0.047586,1.1776973355101652
1874.0,0.17132,153.46,5.9359,0.12943,0.10119,0.06038,0.033802,0.11082,0.35326,0.1339,0.21852,0.047447,1.1887445585097725
1873.0,0.17319,151.43,5.8946,0.12944,0.10105,0.060553,0.034002,0.11076,0.3568,0.13394,0.21851,0.047352,1.1924040560598945
1952.7,0.17076,150.43,6.1738,0.13001,0.10151,0.05947,0.033186,0.11077,0.3579,0.13388,0.21846,0.047405,1.1925826351417552
1951.0,0.17114,151.88,5.8762,0.12913,0.10092,0.061048,0.034287,0.11085,0.35727,0.13385,0.21851,0.047315,1.1931862269455051
1949.3,0.17157,151.62,5.8757,0.12916,0.10091,0.061038,0.034294,0.11084,0.35751,0.13386,0.21851,0.047302,1.1934212911487347
1874.0,0.17346,152.29,6.1413,0.13013,0.10162,0.059266,0.033089,0.11075,0.35966,0.13394,0.21849,0.047481,1.194427674321379
1951.1,0.1708,151.72,5.8871,0.12916,0.10095,0.060985,0.034236,0.11085,0.35863,0.13385,0.21851,0.047322,1.1944913404617161
1951.0,0.17194,151.59,5.8765,0.12917,0.10091,0.06104,0.034304,0.11083,0.35914,0.13387,0.2185,0.047292,1.195050343936196
