iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.2971229307313012,0.08868744039722155,0.32535301979007253
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.04862812655062088,0.08407601164506193,0.07539035224814761
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.16668677142119684,0.07804259959473628,0.1915285024156845
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.1597780738116712,0.07389682074328241,0.1833001624118094
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.19154104991642434,0.07237932156090394,0.21458010352453566
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.01561408751979922,0.07306766504093107,0.03887224766269333
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.04194997885695044,0.07298008271680054,0.06518026068021884
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.033089969153779375,0.07325449453581608,0.056407598971926105
9,494.02,0.50636,99.313,12.387,4.517e-06,0.02254132914206825,0.07329696995561732,0.04587247930625753
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.019072703495888212,0.07316421898071715,0.04236159771236622
11,455.66,0.58146,102.25,13.326,8.357e-06,0.02020753085898397,0.07321896077251379,0.04351384992897826
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.018689753524460784,0.07321348790782312,0.041994330527518296
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.02201753384873156,0.07318828308837465,0.045314087908579145
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.057712933756957574,0.07325520091929939,0.08103078842395048
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.01817894743860725,0.073225432331636,0.04148732646984917
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.017255360308849645,0.07311886284367944,0.04052981721850945
17,437.44,0.5168,99.471,12.45,2.8377e-06,0.01575778952675971,0.07313841562813546,0.03903847028101429
18,445.22,0.51833,98.917,12.488,2.8929e-06,0.016214325137201342,0.07316986907587798,0.03950501783482693
19,302.32,0.50201,75.631,12.165,7.615e-08,0.04182865219257279,0.0729865769133358,0.0650610011828012
20,449.93,0.5193,98.884,15.039,2.9988e-06,0.02377519031501942,0.07321776627643264,0.047081129165102084
21,454.84,0.51094,99.596,13.087,2.7388e-06,0.017745149740146297,0.07318598041151851,0.04104097083518589
22,465.06,0.50021,100.15,13.338,2.7635e-06,0.020402499504879157,0.07320334469870564,0.04370384782419695
23,535.09,0.50025,107.32,15.897,1.6036e-05,0.02618820515259726,0.07330882590383912,0.04952312918231562
24,447.61,0.55455,95.569,10.085,4.8432e-06,0.020238813322700513,0.07309524351722144,0.04350575196724373
25,468.31,0.50973,101.2,15.953,2.7644e-06,0.01489415717492208,0.07320511025610148,0.03819606748861359
26,472.95,0.50022,100.1,14.985,2.6672e-06,0.016363713752447072,0.07323452769837106,0.03967498792883923
