Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
456.3,13.186,91.329,1.963,0.043909,0.10199,0.099284,0.14591,0.22911,0.11259,0.3487,0.11596,0.12084,1.3183104895350655
457.4,13.139,91.305,1.9628,0.043903,0.10201,0.099285,0.14592,0.22911,0.1126,0.34921,0.11597,0.12085,1.318853925863544
456.1,13.348,91.313,1.9632,0.043907,0.10197,0.0993,0.14591,0.22911,0.11259,0.34937,0.11595,0.12085,1.318956604834146
456.91,13.349,91.274,1.965,0.043902,0.10196,0.099213,0.14589,0.22909,0.11254,0.35111,0.11594,0.12083,1.3204810702921774
460.34,13.733,91.318,1.9573,0.043872,0.10203,0.099635,0.14602,0.22916,0.11282,0.3502,0.11598,0.12097,1.3206706651073594
456.81,13.486,91.696,1.9604,0.043912,0.102,0.099499,0.14598,0.22915,0.11273,0.35058,0.11598,0.1209,1.3207145854278393
453.44,13.628,91.472,1.9638,0.043923,0.10191,0.099329,0.14591,0.2291,0.11259,0.3513,0.11594,0.12083,1.3208330716748675
453.94,13.308,91.172,1.9624,0.043915,0.10195,0.099305,0.14591,0.22911,0.11259,0.35139,0.11595,0.12083,1.3209469251598818
456.34,13.694,91.63,1.9602,0.043908,0.10197,0.099529,0.14598,0.22914,0.11273,0.35082,0.11597,0.1209,1.3209574505495736
459.03,13.162,91.329,1.9623,0.043894,0.10203,0.09932,0.14593,0.22912,0.11263,0.35128,0.11597,0.12088,1.3210556825680353
