Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1989.6,3.0887,77.161,2.6933,0.43186,0.12409,0.054696,0.074761,0.1629,0.07506,0.9233728360192599
1947.0,0.13904,62.389,15.482,0.53121,0.074662,0.077101,0.06765,0.11814,0.055636,0.9244014662617421
1989.5,3.125,76.65,2.6839,0.43325,0.12413,0.054701,0.074789,0.16297,0.075105,0.9249492408673305
1990.0,3.1032,77.148,2.6829,0.43359,0.12417,0.054706,0.074808,0.16298,0.075132,0.9253835453635945
1989.8,3.089,77.14,2.6985,0.43489,0.12405,0.054692,0.074736,0.16286,0.075026,0.9262656385105813
1981.1,3.0882,77.185,2.6967,0.43694,0.12407,0.054695,0.074743,0.16283,0.075004,0.9282905370724017
1990.0,3.0959,77.516,2.6915,0.43678,0.12412,0.054702,0.074774,0.16293,0.075091,0.9283992315469766
1972.3,3.0887,76.933,2.6937,0.43727,0.12408,0.054696,0.07475,0.16281,0.074976,0.9285835465478837
1971.7,3.0887,76.977,2.6852,0.44326,0.12414,0.054704,0.074792,0.16287,0.075031,0.9347985117297112
1985.8,2.8133,85.699,2.6613,0.4465,0.12475,0.054814,0.07513,0.16321,0.075594,0.9400051642718247
