Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
309.83,237.24,74.392,9.9911,0.049196,0.14012,0.11046,0.10644,0.20987,0.042412,0.1344,0.028865,0.22151,1.0432731930701165
309.7,237.68,74.346,9.9941,0.049194,0.14013,0.11045,0.10645,0.2103,0.042416,0.13441,0.028857,0.22151,1.0437224623273809
309.37,237.75,74.357,9.9901,0.049205,0.14011,0.11045,0.10645,0.21049,0.042429,0.13441,0.028858,0.22151,1.0439149856418284
308.83,237.64,74.783,9.9901,0.049283,0.14001,0.11047,0.10645,0.21119,0.042434,0.13438,0.028861,0.22151,1.0445938130832708
309.37,236.6,74.336,9.9733,0.049202,0.14008,0.11046,0.10643,0.21126,0.042442,0.13439,0.028879,0.22151,1.0446438047747744
310.13,235.52,74.228,9.9644,0.049161,0.1401,0.11046,0.10641,0.21139,0.04243,0.13438,0.028896,0.22151,1.044732123264875
312.52,228.87,74.175,9.9616,0.049118,0.14012,0.11051,0.10639,0.21154,0.042287,0.13429,0.029,0.22154,1.0447870833667152
309.67,235.96,74.238,9.9081,0.049162,0.13999,0.11045,0.10636,0.21236,0.04257,0.13436,0.028898,0.22147,1.045628565393344
308.6,232.71,74.689,9.9939,0.04931,0.13999,0.11052,0.10644,0.21229,0.042318,0.13433,0.028939,0.22156,1.0456834710358485
310.64,235.79,74.211,10.021,0.049164,0.14021,0.11047,0.10647,0.21237,0.042304,0.13441,0.02888,0.22154,1.045808456288833
