Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g86),Error (curve),Error (g237),Error (g303),Reduced Error
1996.0,0.16324,118.12,18.542,0.065317,0.11761,0.05567,0.23028,0.099752,0.059054,0.6276807916857601
1980.5,0.16167,118.14,18.5,0.065432,0.11733,0.055589,0.23594,0.099677,0.059086,0.6330563409326218
1978.0,0.17193,118.53,18.713,0.065057,0.1186,0.055808,0.24082,0.099113,0.059286,0.638687715235434
1995.8,0.16219,118.14,18.555,0.065395,0.11744,0.055647,0.24354,0.099868,0.059021,0.6409093289814828
1996.2,0.16326,115.59,18.511,0.065282,0.11775,0.055664,0.24491,0.099548,0.059129,0.6422839231245144
1975.0,0.16439,115.94,18.53,0.065309,0.11778,0.055634,0.24531,0.099286,0.059229,0.6425533275148996
1996.2,0.16324,115.96,18.433,0.06521,0.11779,0.05566,0.24647,0.09945,0.059154,0.6437347378893788
1953.7,0.168,118.49,18.557,0.065216,0.11806,0.055649,0.24807,0.098955,0.059346,0.6452947682790684
1995.9,0.16268,118.28,18.585,0.065394,0.11748,0.055659,0.24882,0.09988,0.059018,0.6462563590753359
1990.0,0.15901,115.27,18.375,0.065431,0.11722,0.05555,0.25141,0.099637,0.059097,0.6483453908139567
