param_type,param_name,in_u_bound,out_l_bound,base,out_u_bound,in_l_bound
input,cp_tau_s,3.2992675316086015,0,10,1,1.4626824424930074
input,cp_b,1.2852871973693971,0,10,1,-0.22762694392481445
input,cp_tau_0,2.681883156660884,0,10,1,1.9181771748268672
input,cp_n,1.247506824149921,0,10,1,0.5888541113307603
input,average_strain,-0.544196180123393,0,10,1,-2.0954359163163234
output,average_stress,3.834948149617437,0,10,1,2.41151869550065
output,g59_phi_1,0.28357257796692453,0,10,1,0.22690908496548198
output,g59_Phi,0.36419440860693814,0,10,1,0.3484995702838377
output,g59_phi_2,0.6491303221219458,0,10,1,0.6327710047017497
output,g63_phi_1,0.31991764989524263,0,10,1,0.2788907249286784
output,g63_Phi,0.4866571313388806,0,10,1,0.44600873368401195
output,g63_phi_2,0.6051433679800674,0,10,1,0.5796692935547203
output,g86_phi_1,0.32684769891599025,0,10,1,0.3125581495215206
output,g86_Phi,0.28546729046005725,0,10,1,0.252416090544274
output,g86_phi_2,0.5728832141971627,0,10,1,0.5570738943660124
output,g237_phi_1,0.3367998313481107,0,10,1,0.334835601526356
output,g237_Phi,0.3620864529203951,0,10,1,0.3398090652195195
output,g237_phi_2,0.6221829267827501,0,10,1,0.6129638927195424
output,g303_phi_1,0.4161576896321848,0,10,1,0.40330930382686836
output,g303_Phi,0.3207277266441732,0,10,1,0.300899687772249
output,g303_phi_2,0.6660965854124316,0,10,1,0.6502395074846365
